date_sk,full_date,day_of_month,day_name,week_of_year,month_number,month_name,quarter_number,year_number,is_weekend,is_peak_season
20241209,2024-12-09,9,Senin,50,12,Desember,4,2024,False,True
20241210,2024-12-10,10,Selasa,50,12,Desember,4,2024,False,True
20241211,2024-12-11,11,Rabu,50,12,Desember,4,2024,False,True
20241212,2024-12-12,12,Kamis,50,12,Desember,4,2024,False,True
20241213,2024-12-13,13,Jumat,50,12,Desember,4,2024,False,True
20241214,2024-12-14,14,Sabtu,50,12,Desember,4,2024,True,True
20241215,2024-12-15,15,Minggu,50,12,Desember,4,2024,True,True
20241216,2024-12-16,16,Senin,51,12,Desember,4,2024,False,True
20241217,2024-12-17,17,Selasa,51,12,Desember,4,2024,False,True
20241218,2024-12-18,18,Rabu,51,12,Desember,4,2024,False,True
20241219,2024-12-19,19,Kamis,51,12,Desember,4,2024,False,True
20241220,2024-12-20,20,Jumat,51,12,Desember,4,2024,False,True
20241221,2024-12-21,21,Sabtu,51,12,Desember,4,2024,True,True
20241222,2024-12-22,22,Minggu,51,12,Desember,4,2024,True,True
20241223,2024-12-23,23,Senin,52,12,Desember,4,2024,False,True
20241224,2024-12-24,24,Selasa,52,12,Desember,4,2024,False,True
20241225,2024-12-25,25,Rabu,52,12,Desember,4,2024,False,True
20241226,2024-12-26,26,Kamis,52,12,Desember,4,2024,False,True
20241227,2024-12-27,27,Jumat,52,12,Desember,4,2024,False,True
20241228,2024-12-28,28,Sabtu,52,12,Desember,4,2024,True,True
20241229,2024-12-29,29,Minggu,52,12,Desember,4,2024,True,True
20241230,2024-12-30,30,Senin,1,12,Desember,4,2024,False,True
20241231,2024-12-31,31,Selasa,1,12,Desember,4,2024,False,True
20250101,2025-01-01,1,Rabu,1,1,Januari,1,2025,False,False
20250102,2025-01-02,2,Kamis,1,1,Januari,1,2025,False,False
20250103,2025-01-03,3,Jumat,1,1,Januari,1,2025,False,False
20250104,2025-01-04,4,Sabtu,1,1,Januari,1,2025,True,False
20250105,2025-01-05,5,Minggu,1,1,Januari,1,2025,True,False
20250106,2025-01-06,6,Senin,2,1,Januari,1,2025,False,False
