time_sk,full_time,hour_number,minute_number,time_period,is_peak_hour
0,00:00:00,0,0,Malam,False
1,00:01:00,0,1,Malam,False
2,00:02:00,0,2,Malam,False
3,00:03:00,0,3,Malam,False
4,00:04:00,0,4,Malam,False
5,00:05:00,0,5,Malam,False
6,00:06:00,0,6,Malam,False
7,00:07:00,0,7,Malam,False
8,00:08:00,0,8,Malam,False
9,00:09:00,0,9,Malam,False
10,00:10:00,0,10,Malam,False
11,00:11:00,0,11,Malam,False
12,00:12:00,0,12,Malam,False
13,00:13:00,0,13,Malam,False
14,00:14:00,0,14,Malam,False
15,00:15:00,0,15,Malam,False
16,00:16:00,0,16,Malam,False
17,00:17:00,0,17,Malam,False
18,00:18:00,0,18,Malam,False
19,00:19:00,0,19,Malam,False
20,00:20:00,0,20,Malam,False
21,00:21:00,0,21,Malam,False
22,00:22:00,0,22,Malam,False
23,00:23:00,0,23,Malam,False
24,00:24:00,0,24,Malam,False
25,00:25:00,0,25,Malam,False
26,00:26:00,0,26,Malam,False
27,00:27:00,0,27,Malam,False
28,00:28:00,0,28,Malam,False
29,00:29:00,0,29,Malam,False
30,00:30:00,0,30,Malam,False
31,00:31:00,0,31,Malam,False
32,00:32:00,0,32,Malam,False
33,00:33:00,0,33,Malam,False
34,00:34:00,0,34,Malam,False
35,00:35:00,0,35,Malam,False
36,00:36:00,0,36,Malam,False
37,00:37:00,0,37,Malam,False
38,00:38:00,0,38,Malam,False
39,00:39:00,0,39,Malam,False
40,00:40:00,0,40,Malam,False
41,00:41:00,0,41,Malam,False
42,00:42:00,0,42,Malam,False
43,00:43:00,0,43,Malam,False
44,00:44:00,0,44,Malam,False
45,00:45:00,0,45,Malam,False
46,00:46:00,0,46,Malam,False
47,00:47:00,0,47,Malam,False
48,00:48:00,0,48,Malam,False
49,00:49:00,0,49,Malam,False
50,00:50:00,0,50,Malam,False
51,00:51:00,0,51,Malam,False
52,00:52:00,0,52,Malam,False
53,00:53:00,0,53,Malam,False
54,00:54:00,0,54,Malam,False
55,00:55:00,0,55,Malam,False
56,00:56:00,0,56,Malam,False
57,00:57:00,0,57,Malam,False
58,00:58:00,0,58,Malam,False
59,00:59:00,0,59,Malam,False
100,01:00:00,1,0,Malam,False
101,01:01:00,1,1,Malam,False
102,01:02:00,1,2,Malam,False
103,01:03:00,1,3,Malam,False
104,01:04:00,1,4,Malam,False
105,01:05:00,1,5,Malam,False
106,01:06:00,1,6,Malam,False
107,01:07:00,1,7,Malam,False
108,01:08:00,1,8,Malam,False
109,01:09:00,1,9,Malam,False
110,01:10:00,1,10,Malam,False
111,01:11:00,1,11,Malam,False
112,01:12:00,1,12,Malam,False
113,01:13:00,1,13,Malam,False
114,01:14:00,1,14,Malam,False
115,01:15:00,1,15,Malam,False
116,01:16:00,1,16,Malam,False
117,01:17:00,1,17,Malam,False
118,01:18:00,1,18,Malam,False
119,01:19:00,1,19,Malam,False
120,01:20:00,1,20,Malam,False
121,01:21:00,1,21,Malam,False
122,01:22:00,1,22,Malam,False
123,01:23:00,1,23,Malam,False
124,01:24:00,1,24,Malam,False
125,01:25:00,1,25,Malam,False
126,01:26:00,1,26,Malam,False
127,01:27:00,1,27,Malam,False
128,01:28:00,1,28,Malam,False
129,01:29:00,1,29,Malam,False
130,01:30:00,1,30,Malam,False
131,01:31:00,1,31,Malam,False
132,01:32:00,1,32,Malam,False
133,01:33:00,1,33,Malam,False
134,01:34:00,1,34,Malam,False
135,01:35:00,1,35,Malam,False
136,01:36:00,1,36,Malam,False
137,01:37:00,1,37,Malam,False
138,01:38:00,1,38,Malam,False
139,01:39:00,1,39,Malam,False
140,01:40:00,1,40,Malam,False
141,01:41:00,1,41,Malam,False
142,01:42:00,1,42,Malam,False
143,01:43:00,1,43,Malam,False
144,01:44:00,1,44,Malam,False
145,01:45:00,1,45,Malam,False
146,01:46:00,1,46,Malam,False
147,01:47:00,1,47,Malam,False
148,01:48:00,1,48,Malam,False
149,01:49:00,1,49,Malam,False
150,01:50:00,1,50,Malam,False
151,01:51:00,1,51,Malam,False
152,01:52:00,1,52,Malam,False
153,01:53:00,1,53,Malam,False
154,01:54:00,1,54,Malam,False
155,01:55:00,1,55,Malam,False
156,01:56:00,1,56,Malam,False
157,01:57:00,1,57,Malam,False
158,01:58:00,1,58,Malam,False
159,01:59:00,1,59,Malam,False
200,02:00:00,2,0,Malam,False
201,02:01:00,2,1,Malam,False
202,02:02:00,2,2,Malam,False
203,02:03:00,2,3,Malam,False
204,02:04:00,2,4,Malam,False
205,02:05:00,2,5,Malam,False
206,02:06:00,2,6,Malam,False
207,02:07:00,2,7,Malam,False
208,02:08:00,2,8,Malam,False
209,02:09:00,2,9,Malam,False
210,02:10:00,2,10,Malam,False
211,02:11:00,2,11,Malam,False
212,02:12:00,2,12,Malam,False
213,02:13:00,2,13,Malam,False
214,02:14:00,2,14,Malam,False
215,02:15:00,2,15,Malam,False
216,02:16:00,2,16,Malam,False
217,02:17:00,2,17,Malam,False
218,02:18:00,2,18,Malam,False
219,02:19:00,2,19,Malam,False
220,02:20:00,2,20,Malam,False
221,02:21:00,2,21,Malam,False
222,02:22:00,2,22,Malam,False
223,02:23:00,2,23,Malam,False
224,02:24:00,2,24,Malam,False
225,02:25:00,2,25,Malam,False
226,02:26:00,2,26,Malam,False
227,02:27:00,2,27,Malam,False
228,02:28:00,2,28,Malam,False
229,02:29:00,2,29,Malam,False
230,02:30:00,2,30,Malam,False
231,02:31:00,2,31,Malam,False
232,02:32:00,2,32,Malam,False
233,02:33:00,2,33,Malam,False
234,02:34:00,2,34,Malam,False
235,02:35:00,2,35,Malam,False
236,02:36:00,2,36,Malam,False
237,02:37:00,2,37,Malam,False
238,02:38:00,2,38,Malam,False
239,02:39:00,2,39,Malam,False
240,02:40:00,2,40,Malam,False
241,02:41:00,2,41,Malam,False
242,02:42:00,2,42,Malam,False
243,02:43:00,2,43,Malam,False
244,02:44:00,2,44,Malam,False
245,02:45:00,2,45,Malam,False
246,02:46:00,2,46,Malam,False
247,02:47:00,2,47,Malam,False
248,02:48:00,2,48,Malam,False
249,02:49:00,2,49,Malam,False
250,02:50:00,2,50,Malam,False
251,02:51:00,2,51,Malam,False
252,02:52:00,2,52,Malam,False
253,02:53:00,2,53,Malam,False
254,02:54:00,2,54,Malam,False
255,02:55:00,2,55,Malam,False
256,02:56:00,2,56,Malam,False
257,02:57:00,2,57,Malam,False
258,02:58:00,2,58,Malam,False
259,02:59:00,2,59,Malam,False
300,03:00:00,3,0,Malam,False
301,03:01:00,3,1,Malam,False
302,03:02:00,3,2,Malam,False
303,03:03:00,3,3,Malam,False
304,03:04:00,3,4,Malam,False
305,03:05:00,3,5,Malam,False
306,03:06:00,3,6,Malam,False
307,03:07:00,3,7,Malam,False
308,03:08:00,3,8,Malam,False
309,03:09:00,3,9,Malam,False
310,03:10:00,3,10,Malam,False
311,03:11:00,3,11,Malam,False
312,03:12:00,3,12,Malam,False
313,03:13:00,3,13,Malam,False
314,03:14:00,3,14,Malam,False
315,03:15:00,3,15,Malam,False
316,03:16:00,3,16,Malam,False
317,03:17:00,3,17,Malam,False
318,03:18:00,3,18,Malam,False
319,03:19:00,3,19,Malam,False
320,03:20:00,3,20,Malam,False
321,03:21:00,3,21,Malam,False
322,03:22:00,3,22,Malam,False
323,03:23:00,3,23,Malam,False
324,03:24:00,3,24,Malam,False
325,03:25:00,3,25,Malam,False
326,03:26:00,3,26,Malam,False
327,03:27:00,3,27,Malam,False
328,03:28:00,3,28,Malam,False
329,03:29:00,3,29,Malam,False
330,03:30:00,3,30,Malam,False
331,03:31:00,3,31,Malam,False
332,03:32:00,3,32,Malam,False
333,03:33:00,3,33,Malam,False
334,03:34:00,3,34,Malam,False
335,03:35:00,3,35,Malam,False
336,03:36:00,3,36,Malam,False
337,03:37:00,3,37,Malam,False
338,03:38:00,3,38,Malam,False
339,03:39:00,3,39,Malam,False
340,03:40:00,3,40,Malam,False
341,03:41:00,3,41,Malam,False
342,03:42:00,3,42,Malam,False
343,03:43:00,3,43,Malam,False
344,03:44:00,3,44,Malam,False
345,03:45:00,3,45,Malam,False
346,03:46:00,3,46,Malam,False
347,03:47:00,3,47,Malam,False
348,03:48:00,3,48,Malam,False
349,03:49:00,3,49,Malam,False
350,03:50:00,3,50,Malam,False
351,03:51:00,3,51,Malam,False
352,03:52:00,3,52,Malam,False
353,03:53:00,3,53,Malam,False
354,03:54:00,3,54,Malam,False
355,03:55:00,3,55,Malam,False
356,03:56:00,3,56,Malam,False
357,03:57:00,3,57,Malam,False
358,03:58:00,3,58,Malam,False
359,03:59:00,3,59,Malam,False
400,04:00:00,4,0,Malam,False
401,04:01:00,4,1,Malam,False
402,04:02:00,4,2,Malam,False
403,04:03:00,4,3,Malam,False
404,04:04:00,4,4,Malam,False
405,04:05:00,4,5,Malam,False
406,04:06:00,4,6,Malam,False
407,04:07:00,4,7,Malam,False
408,04:08:00,4,8,Malam,False
409,04:09:00,4,9,Malam,False
410,04:10:00,4,10,Malam,False
411,04:11:00,4,11,Malam,False
412,04:12:00,4,12,Malam,False
413,04:13:00,4,13,Malam,False
414,04:14:00,4,14,Malam,False
415,04:15:00,4,15,Malam,False
416,04:16:00,4,16,Malam,False
417,04:17:00,4,17,Malam,False
418,04:18:00,4,18,Malam,False
419,04:19:00,4,19,Malam,False
420,04:20:00,4,20,Malam,False
421,04:21:00,4,21,Malam,False
422,04:22:00,4,22,Malam,False
423,04:23:00,4,23,Malam,False
424,04:24:00,4,24,Malam,False
425,04:25:00,4,25,Malam,False
426,04:26:00,4,26,Malam,False
427,04:27:00,4,27,Malam,False
428,04:28:00,4,28,Malam,False
429,04:29:00,4,29,Malam,False
430,04:30:00,4,30,Malam,False
431,04:31:00,4,31,Malam,False
432,04:32:00,4,32,Malam,False
433,04:33:00,4,33,Malam,False
434,04:34:00,4,34,Malam,False
435,04:35:00,4,35,Malam,False
436,04:36:00,4,36,Malam,False
437,04:37:00,4,37,Malam,False
438,04:38:00,4,38,Malam,False
439,04:39:00,4,39,Malam,False
440,04:40:00,4,40,Malam,False
441,04:41:00,4,41,Malam,False
442,04:42:00,4,42,Malam,False
443,04:43:00,4,43,Malam,False
444,04:44:00,4,44,Malam,False
445,04:45:00,4,45,Malam,False
446,04:46:00,4,46,Malam,False
447,04:47:00,4,47,Malam,False
448,04:48:00,4,48,Malam,False
449,04:49:00,4,49,Malam,False
450,04:50:00,4,50,Malam,False
451,04:51:00,4,51,Malam,False
452,04:52:00,4,52,Malam,False
453,04:53:00,4,53,Malam,False
454,04:54:00,4,54,Malam,False
455,04:55:00,4,55,Malam,False
456,04:56:00,4,56,Malam,False
457,04:57:00,4,57,Malam,False
458,04:58:00,4,58,Malam,False
459,04:59:00,4,59,Malam,False
500,05:00:00,5,0,Pagi,False
501,05:01:00,5,1,Pagi,False
502,05:02:00,5,2,Pagi,False
503,05:03:00,5,3,Pagi,False
504,05:04:00,5,4,Pagi,False
505,05:05:00,5,5,Pagi,False
506,05:06:00,5,6,Pagi,False
507,05:07:00,5,7,Pagi,False
508,05:08:00,5,8,Pagi,False
509,05:09:00,5,9,Pagi,False
510,05:10:00,5,10,Pagi,False
511,05:11:00,5,11,Pagi,False
512,05:12:00,5,12,Pagi,False
513,05:13:00,5,13,Pagi,False
514,05:14:00,5,14,Pagi,False
515,05:15:00,5,15,Pagi,False
516,05:16:00,5,16,Pagi,False
517,05:17:00,5,17,Pagi,False
518,05:18:00,5,18,Pagi,False
519,05:19:00,5,19,Pagi,False
520,05:20:00,5,20,Pagi,False
521,05:21:00,5,21,Pagi,False
522,05:22:00,5,22,Pagi,False
523,05:23:00,5,23,Pagi,False
524,05:24:00,5,24,Pagi,False
525,05:25:00,5,25,Pagi,False
