loyalty_transaction_sk,passenger_sk,transaction_date_sk,transaction_time_sk,loyalty_transaction_type_sk,loyalty_transaction_id,reference_id,points_transacted,points_balance_after
1,4771,20250220,900,1,LTX-0000001,BKG-000001,39,39
2,4771,20250622,900,1,LTX-0000002,BKG-003803,27,66
3,4771,20250710,900,1,LTX-0000003,BKG-007100,42,108
4,4771,20250826,900,1,LTX-0000004,BKG-007082,16,124
5,3832,20250728,900,1,LTX-0000005,BKG-007177,40,40
6,3832,20251108,900,1,LTX-0000006,BKG-000002,38,78
7,3021,20250112,900,1,LTX-0000007,BKG-000003,52,52
8,3021,20250318,900,1,LTX-0000008,BKG-000279,28,80
9,3022,20250601,900,1,LTX-0000009,BKG-003504,27,107
10,3022,20250606,900,1,LTX-0000010,BKG-010645,64,171
11,4902,20250926,900,1,LTX-0000011,BKG-004338,7,7
12,4902,20251006,900,1,LTX-0000012,BKG-011089,20,27
13,4902,20251006,1800,2,LTX-0000013,BKG-011089,-20,7
14,4902,20251111,900,1,LTX-0000014,BKG-000004,60,67
15,305,20250520,900,1,LTX-0000015,BKG-000005,43,43
16,305,20250829,900,1,LTX-0000016,BKG-002920,63,106
17,305,20250927,900,1,LTX-0000017,BKG-001422,18,124
18,305,20251014,900,1,LTX-0000018,BKG-006719,14,138
19,4621,20250203,900,1,LTX-0000019,BKG-010289,62,62
20,4621,20250210,900,1,LTX-0000020,BKG-003259,70,132
21,4621,20251001,900,1,LTX-0000021,BKG-000006,17,149
22,4621,20251128,900,1,LTX-0000022,BKG-001572,40,189
23,4621,20251205,900,1,LTX-0000023,BKG-009937,41,230
24,1734,20250111,900,1,LTX-0000024,BKG-009918,16,16
25,1734,20250517,900,1,LTX-0000025,BKG-000007,45,61
26,1734,20250818,900,1,LTX-0000026,BKG-011778,16,77
27,3561,20250329,900,1,LTX-0000027,BKG-000008,27,27
28,3561,20250602,900,1,LTX-0000028,BKG-006776,42,69
29,732,20250430,900,1,LTX-0000029,BKG-000009,46,46
