itinerary_leg_sk,passenger_sk,route_sk,bus_fleet_sk,origin_terminal_sk,destination_terminal_sk,disruption_reason_sk,booking_date_sk,booking_time_sk,scheduled_departure_date_sk,scheduled_departure_time_sk,actual_departure_date_sk,actual_departure_time_sk,scheduled_arrival_date_sk,scheduled_arrival_time_sk,actual_arrival_date_sk,actual_arrival_time_sk,rebooking_date_sk,rebooking_time_sk,claim_resolution_date_sk,claim_resolution_time_sk,booking_id,ticket_number,itinerary_id,trip_id,leg_sequence,total_legs,claim_id,travel_status,claim_status,departure_delay_minutes,arrival_delay_minutes,scheduled_connection_minutes,actual_connection_minutes,missed_connection_count,rebooking_cost,refund_amount,compensation_amount
1,4771,9,43,12,13,0,20250220,807,20250322,600,20250322,609,20250322,1349,20250322,1349,,,,,BKG-000001,TICK-000001,ITI-000001,TRIP-000001,1,2,,COMPLETED,,9,0,,,0,0,0,0
2,4771,10,44,13,14,0,20250220,807,20250322,1800,20250322,1800,20250323,241,20250323,241,,,,,BKG-000001,TICK-000002,ITI-000001,TRIP-000002,2,2,,COMPLETED,,0,0,251,251,0,0,0,0
3,3832,6,53,9,10,0,20251108,1042,20251208,600,20251208,600,20251208,936,20251208,1012,,,,,BKG-000002,TICK-000003,ITI-000002,TRIP-000003,1,2,,COMPLETED,,0,36,,,0,0,0,0
4,3832,7,51,10,11,0,20251108,1042,20251208,1200,20251208,1232,20251208,2142,20251208,2206,,,,,BKG-000002,TICK-000004,ITI-000002,TRIP-000004,2,2,,COMPLETED,,32,24,144,140,0,0,0,0
5,3021,16,62,19,20,0,20250112,809,20250208,1800,20250208,1828,20250209,134,20250209,154,,,,,BKG-000003,TICK-000005,ITI-000003,TRIP-000005,1,3,,COMPLETED,,28,20,,,0,0,0,0
6,3021,17,43,20,21,0,20250112,809,20250209,600,20250209,619,20250209,839,20250209,857,,,,,BKG-000003,TICK-000006,ITI-000003,TRIP-000006,2,3,,COMPLETED,,19,18,266,265,0,0,0,0
7,3021,18,46,21,23,0,20250112,809,20250209,1200,20250209,1205,20250209,2100,20250209,2100,,,,,BKG-000003,TICK-000007,ITI-000003,TRIP-000007,3,3,,COMPLETED,,5,0,201,188,0,0,0,0
8,4902,24,35,29,30,0,20251111,726,20251208,600,20251208,602,20251208,1714,20251208,1719,,,,,BKG-000004,TICK-000008,ITI-000004,TRIP-000008,1,2,,COMPLETED,,2,5,,,0,0,0,0
9,4902,25,59,30,2,0,20251111,726,20251208,1800,20251208,1829,20251209,338,20251209,422,,,,,BKG-000004,TICK-000009,ITI-000004,TRIP-000009,2,2,,COMPLETED,,29,44,46,70,0,0,0,0
10,305,25,65,30,1,0,20250520,1102,20250608,600,20250608,600,20250608,1538,20250608,1538,,,,,BKG-000005,TICK-000010,ITI-000005,TRIP-000010,1,1,,COMPLETED,,0,0,,,0,0,0,0
11,4621,4,82,6,8,0,20251001,1552,20251008,1200,20251008,1200,20251008,1803,20251008,1814,,,,,BKG-000006,TICK-000011,ITI-000006,TRIP-000011,1,1,,COMPLETED,,0,11,,,0,0,0,0
12,1734,18,52,21,24,0,20250517,831,20250608,1200,20250608,1208,20250608,2100,20250608,2106,,,,,BKG-000007,TICK-000012,ITI-000007,TRIP-000012,1,2,,COMPLETED,,8,6,,,0,0,0,0
13,1734,19,1,24,25,0,20250517,831,20250609,0,20250609,46,20250609,311,20250609,410,,,,,BKG-000007,TICK-000013,ITI-000007,TRIP-000013,2,2,,COMPLETED,,46,59,180,220,0,0,0,0
14,3561,16,89,19,20,0,20250329,2118,20250408,1200,20250408,1211,20250408,1934,20250408,1957,,,,,BKG-000008,TICK-000014,ITI-000008,TRIP-000014,1,2,,COMPLETED,,11,23,,,0,0,0,0
15,3561,17,62,20,21,0,20250329,2118,20250409,0,20250409,26,20250409,239,20250409,309,,,,,BKG-000008,TICK-000015,ITI-000008,TRIP-000015,2,2,,COMPLETED,,26,30,266,269,0,0,0,0
16,732,11,2,14,15,0,20250430,1938,20250522,600,20250522,628,20250522,1414,20250522,1443,,,,,BKG-000009,TICK-000016,ITI-000009,TRIP-000016,1,3,,COMPLETED,,28,29,,,0,0,0,0
17,732,12,53,15,16,0,20250430,1938,20250522,1800,20250522,1819,20250522,2227,20250522,2252,,,,,BKG-000009,TICK-000017,ITI-000009,TRIP-000017,2,3,,COMPLETED,,19,25,226,216,0,0,0,0
18,732,13,42,16,17,0,20250430,1938,20250523,0,20250523,3,20250523,637,20250523,642,,,,,BKG-000009,TICK-000018,ITI-000009,TRIP-000018,3,3,,COMPLETED,,3,5,93,71,0,0,0,0
19,2474,14,24,17,18,0,20250313,1845,20250408,600,20250408,610,20250408,1802,20250408,1836,,,,,BKG-000010,TICK-000019,ITI-000010,TRIP-000019,1,3,,COMPLETED,,10,34,,,0,0,0,0
20,2474,15,46,18,19,0,20250313,1845,20250408,1800,20250408,1826,20250408,2311,20250408,2353,20250409,636,20250412,2336,BKG-000010,TICK-000020,ITI-000010,TRIP-000020,2,3,CLM-000001,MISSED_CONNECTION,Approved,26,42,-2,-10,1,39000,62000,75000
21,2474,16,75,19,20,0,20250313,1845,20250409,0,20250409,0,20250409,734,20250409,752,,,,,BKG-000010,TICK-000021,ITI-000010,TRIP-000021,3,3,,CANCELLED_AFTER_DISRUPTION,,0,18,,,0,0,0,0
22,1969,6,92,9,10,0,20250530,1844,20250608,1800,20250608,1846,20250608,2136,20250608,2221,,,,,BKG-000011,TICK-000022,ITI-000011,TRIP-000022,1,3,,COMPLETED,,46,45,,,0,0,0,0
23,1969,7,28,10,11,0,20250530,1844,20250609,0,20250609,0,20250609,942,20250609,942,,,,,BKG-000011,TICK-000023,ITI-000011,TRIP-000023,2,3,,COMPLETED,,0,0,144,99,0,0,0,0
24,1969,8,76,11,12,0,20250530,1844,20250609,1200,20250609,1200,20250609,1805,20250609,1805,,,,,BKG-000011,TICK-000024,ITI-000011,TRIP-000024,3,3,,COMPLETED,,0,0,138,138,0,0,0,0
25,1462,19,52,24,25,0,20250926,1312,20251008,1800,20251008,1815,20251008,2111,20251008,2111,,,,,BKG-000012,TICK-000025,ITI-000012,TRIP-000025,1,3,,COMPLETED,,15,0,,,0,0,0,0
26,1462,20,1,25,26,0,20250926,1312,20251009,0,20251009,0,20251009,610,20251009,625,,,,,BKG-000012,TICK-000026,ITI-000012,TRIP-000026,2,3,,COMPLETED,,0,15,169,169,0,0,0,0
27,1462,21,20,26,27,0,20250926,1312,20251009,600,20251009,600,20251009,1411,20251009,1417,20251009,1925,20251011,1825,BKG-000012,TICK-000027,ITI-000012,TRIP-000027,3,3,CLM-000002,MISSED_CONNECTION,Approved,0,6,-10,-25,1,55000,78000,50000
28,627,18,12,21,24,0,20250616,1641,20250708,1200,20250708,1202,20250708,2100,20250708,2129,,,,,BKG-000013,TICK-000028,ITI-000013,TRIP-000028,1,2,,COMPLETED,,2,29,,,0,0,0,0
29,627,19,43,24,25,0,20250616,1641,20250709,0,20250709,22,20250709,311,20250709,329,,,,,BKG-000013,TICK-000029,ITI-000013,TRIP-000029,2,2,,COMPLETED,,22,18,180,173,0,0,0,0
30,1421,26,84,2,8,0,20250926,2058,20251008,600,20251008,600,20251008,1000,20251008,1000,,,,,BKG-000014,TICK-000030,ITI-000014,TRIP-000030,1,2,,COMPLETED,,0,0,,,0,0,0,0
31,1421,5,91,8,9,0,20250926,2058,20251008,1200,20251008,1200,20251009,23,20251009,43,,,,,BKG-000014,TICK-000031,ITI-000014,TRIP-000031,2,2,,COMPLETED,,0,20,120,120,0,0,0,0
32,3286,3,7,5,6,0,20251217,709,20251222,1800,20251222,1839,20251222,2102,20251222,2208,,,,,BKG-000015,TICK-000032,ITI-000015,TRIP-000032,1,1,,COMPLETED,,39,66,,,0,0,0,0
33,3945,7,28,10,11,0,20250609,1400,20250622,1200,20250622,1215,20250622,2142,20250622,2153,,,,,BKG-000016,TICK-000033,ITI-000016,TRIP-000033,1,2,,COMPLETED,,15,11,,,0,0,0,0
34,3945,8,10,11,12,0,20250609,1400,20250623,0,20250623,12,20250623,605,20250623,607,,,,,BKG-000016,TICK-000034,ITI-000016,TRIP-000034,2,2,,COMPLETED,,12,2,138,139,0,0,0,0
35,13,16,52,19,20,0,20250708,2118,20250722,1800,20250722,1811,20250723,134,20250723,140,,,,,BKG-000017,TICK-000035,ITI-000017,TRIP-000035,1,2,,COMPLETED,,11,6,,,0,0,0,0
