ticket_sales_sk,passenger_sk,booking_date_sk,booking_time_sk,route_sk,sales_context_sk,promotion_sk,booking_id,ticket_number,itinerary_id,allocated_base_fare,discount_amount,tax_amount,net_ticket_revenue,loyalty_points_earned,loyalty_points_redeemed
1,4771,20250220,807,9,10,0,BKG-000001,TICK-000001,ITI-000001,165000,0,18000,183000,18,0
2,4771,20250220,807,10,10,0,BKG-000001,TICK-000002,ITI-000001,185000,0,20000,205000,20,0
3,3832,20251108,1042,6,36,1,BKG-000002,TICK-000003,ITI-000002,122000,6000,13000,129000,13,0
4,3832,20251108,1042,7,36,1,BKG-000002,TICK-000004,ITI-000002,235000,12000,25000,248000,25,0
5,3021,20250112,809,16,4,0,BKG-000003,TICK-000005,ITI-000003,216000,0,24000,240000,24,0
6,3021,20250112,809,17,4,0,BKG-000003,TICK-000006,ITI-000003,55000,0,6000,61000,6,0
7,3021,20250112,809,18,4,0,BKG-000003,TICK-000007,ITI-000003,196000,0,22000,218000,22,0
8,4902,20251111,726,24,28,2,BKG-000004,TICK-000008,ITI-000004,348000,35000,34000,347000,35,0
9,4902,20251111,726,25,28,2,BKG-000004,TICK-000009,ITI-000004,257000,26000,25000,256000,26,0
10,305,20250520,1102,25,13,2,BKG-000005,TICK-000010,ITI-000005,433000,43000,43000,433000,43,0
11,4621,20251001,1552,4,13,3,BKG-000006,TICK-000011,ITI-000006,164000,8000,17000,173000,17,0
12,1734,20250517,831,18,36,0,BKG-000007,TICK-000012,ITI-000007,294000,0,32000,326000,33,0
13,1734,20250517,831,19,36,0,BKG-000007,TICK-000013,ITI-000007,112000,0,12000,124000,12,0
14,3561,20250329,2118,16,45,0,BKG-000008,TICK-000014,ITI-000008,173000,0,19000,192000,19,0
15,3561,20250329,2118,17,45,0,BKG-000008,TICK-000015,ITI-000008,68000,0,7000,75000,8,0
16,732,20250430,1938,11,33,0,BKG-000009,TICK-000016,ITI-000009,174000,0,19000,193000,19,0
17,732,20250430,1938,12,33,0,BKG-000009,TICK-000017,ITI-000009,110000,0,12000,122000,12,0
18,732,20250430,1938,13,33,0,BKG-000009,TICK-000018,ITI-000009,135000,0,15000,150000,15,0
19,2474,20250313,1845,14,48,0,BKG-000010,TICK-000019,ITI-000010,229000,0,25000,254000,25,0
20,2474,20250313,1845,15,48,0,BKG-000010,TICK-000020,ITI-000010,112000,0,12000,124000,12,0
21,2474,20250313,1845,16,48,0,BKG-000010,TICK-000021,ITI-000010,216000,0,24000,240000,24,0
22,1969,20250530,1844,6,38,0,BKG-000011,TICK-000022,ITI-000011,98000,0,11000,109000,11,0
23,1969,20250530,1844,7,38,0,BKG-000011,TICK-000023,ITI-000011,294000,0,32000,326000,33,0
24,1969,20250530,1844,8,38,0,BKG-000011,TICK-000024,ITI-000011,155000,0,17000,172000,17,0
25,1462,20250926,1312,19,36,2,BKG-000012,TICK-000025,ITI-000012,94000,9000,9000,94000,9,0
26,1462,20250926,1312,20,36,2,BKG-000012,TICK-000026,ITI-000012,186000,19000,18000,185000,18,0
27,1462,20250926,1312,21,36,2,BKG-000012,TICK-000027,ITI-000012,156000,16000,15000,155000,16,0
28,627,20250616,1641,18,48,0,BKG-000013,TICK-000028,ITI-000013,235000,0,26000,261000,26,0
29,627,20250616,1641,19,48,0,BKG-000013,TICK-000029,ITI-000013,90000,0,10000,100000,10,0
30,1420,20250926,2058,26,26,0,BKG-000014,TICK-000030,ITI-000014,157000,0,17000,174000,17,0
31,1420,20250926,2058,5,26,0,BKG-000014,TICK-000031,ITI-000014,339000,0,37000,376000,38,0
