ticket_number,booking_id,itinerary_id,passenger_id,trip_id,bus_fleet_id,scheduled_departure_ts,historical_seat_capacity,passenger_sequence,rejection_reason,claim_id,claim_status,refund_amount,compensation_amount,rebooking_cost
TICK-014157,BKG-007102,ITI-007102,P00293,TRIP-000028,BUS-009,2025-07-08 12:00:00,20,21,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-022400,BKG-011192,ITI-011192,P03742,TRIP-000028,BUS-009,2025-07-08 12:00:00,20,22,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-016736,BKG-008386,ITI-008386,P00744,TRIP-000028,BUS-009,2025-07-08 12:00:00,20,23,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-006368,BKG-003197,ITI-003197,P03741,TRIP-000028,BUS-009,2025-07-08 12:00:00,20,24,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-002519,BKG-001267,ITI-001267,P02383,TRIP-000028,BUS-009,2025-07-08 12:00:00,20,25,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-012651,BKG-006366,ITI-006366,P02292,TRIP-000028,BUS-009,2025-07-08 12:00:00,20,26,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-001671,BKG-000836,ITI-000836,P02131,TRIP-000028,BUS-009,2025-07-08 12:00:00,20,27,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-019722,BKG-009881,ITI-009881,P03985,TRIP-000239,BUS-029,2025-07-08 12:00:00,20,21,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-004770,BKG-002402,ITI-002402,P02722,TRIP-000239,BUS-029,2025-07-08 12:00:00,20,22,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-023127,BKG-011555,ITI-011555,P02544,TRIP-000239,BUS-029,2025-07-08 12:00:00,20,23,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-002780,BKG-001398,ITI-001398,P03169,TRIP-000239,BUS-029,2025-07-08 12:00:00,20,24,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-014210,BKG-007128,ITI-007128,P01083,TRIP-000239,BUS-029,2025-07-08 12:00:00,20,25,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-023281,BKG-011632,ITI-011632,P02202,TRIP-000239,BUS-029,2025-07-08 12:00:00,20,26,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-021374,BKG-010691,ITI-010691,P03037,TRIP-000239,BUS-029,2025-07-08 12:00:00,20,27,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-004441,BKG-002231,ITI-002231,P02787,TRIP-001462,BUS-009,2025-07-08 18:00:00,20,21,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-018155,BKG-009099,ITI-009099,P00526,TRIP-001462,BUS-009,2025-07-08 18:00:00,20,22,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-004236,BKG-002121,ITI-002121,P01990,TRIP-001462,BUS-009,2025-07-08 18:00:00,20,23,TRIP_CAPACITY_EXCEEDED,CLM-000475,Approved,94000,50000,62000
TICK-017753,BKG-008895,ITI-008895,P00426,TRIP-001462,BUS-009,2025-07-08 18:00:00,20,24,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-020472,BKG-010255,ITI-010255,P02104,TRIP-001462,BUS-009,2025-07-08 18:00:00,20,25,TRIP_CAPACITY_EXCEEDED,,,0,0,0
TICK-019873,BKG-009957,ITI-009957,P01516,TRIP-001462,BUS-009,2025-07-08 18:00:00,20,26,TRIP_CAPACITY_EXCEEDED,,,0,0,0
