booking_id,itinerary_id,passenger_id,booking_ts,booking_channel,fare_class,payment_method,is_refundable,total_legs
BKG-000001,ITI-000001,P03859,2025-02-20 08:07:00,Agent,Regular,Card,True,2
BKG-000002,ITI-000002,P03103,2025-11-08 10:42:00,Mobile App,Regular,E-Wallet,True,2
BKG-000003,ITI-000003,P02445,2025-01-12 08:09:00,Agent,Flexi,E-Wallet,True,3
BKG-000004,ITI-000004,P03966,2025-11-11 07:26:00,Mobile App,Flexi,E-Wallet,True,2
BKG-000005,ITI-000005,P00259,2025-05-20 11:02:00,Counter,Flexi,Bank Transfer,True,1
BKG-000006,ITI-000006,P03735,2025-10-01 15:52:00,Counter,Flexi,Bank Transfer,True,1
BKG-000007,ITI-000007,P01426,2025-05-17 08:31:00,Mobile App,Regular,E-Wallet,True,2
BKG-000008,ITI-000008,P02880,2025-03-29 21:18:00,Website,Regular,Bank Transfer,True,2
BKG-000009,ITI-000009,P00604,2025-04-30 19:38:00,Mobile App,Regular,Bank Transfer,True,3
BKG-000010,ITI-000010,P02016,2025-03-13 18:45:00,Website,Regular,E-Wallet,True,3
BKG-000011,ITI-000011,P01618,2025-05-30 18:44:00,Website,Flexi,Card,True,3
BKG-000012,ITI-000012,P01205,2025-09-26 13:12:00,Mobile App,Regular,E-Wallet,True,3
BKG-000013,ITI-000013,P00522,2025-06-16 16:41:00,Website,Regular,E-Wallet,True,2
BKG-000014,ITI-000014,P01174,2025-09-26 20:58:00,Mobile App,Flexi,Card,True,2
BKG-000015,ITI-000015,P02661,2025-12-17 07:09:00,Website,Regular,Cash,True,1
BKG-000016,ITI-000016,P03194,2025-06-09 14:00:00,Agent,Flexi,E-Wallet,True,2
BKG-000017,ITI-000017,P00012,2025-07-08 21:18:00,Mobile App,Regular,Card,True,2
BKG-000018,ITI-000018,P02987,2025-02-05 12:24:00,Mobile App,Regular,E-Wallet,True,1
BKG-000019,ITI-000019,P00261,2025-06-02 20:02:00,Website,Regular,Card,True,2
BKG-000020,ITI-000020,P03318,2025-06-17 19:44:00,Mobile App,Flexi,Cash,True,2
BKG-000021,ITI-000021,P01144,2025-12-13 20:04:00,Mobile App,Regular,E-Wallet,True,3
BKG-000022,ITI-000022,P01478,2025-03-13 11:04:00,Website,Flexi,Cash,True,2
BKG-000023,ITI-000023,P02038,2025-06-20 12:36:00,Mobile App,Regular,E-Wallet,True,2
BKG-000024,ITI-000024,P00350,2025-07-21 16:09:00,Mobile App,Regular,E-Wallet,True,2
BKG-000025,ITI-000025,P00229,2025-06-20 18:40:00,Website,Regular,Bank Transfer,True,1
BKG-000026,ITI-000026,P00559,2025-02-07 07:09:00,Mobile App,Regular,Bank Transfer,True,2
BKG-000027,ITI-000027,P00121,2025-12-19 09:42:00,Mobile App,Promo,Bank Transfer,False,1
BKG-000028,ITI-000028,P01407,2025-08-27 12:51:00,Agent,Flexi,E-Wallet,True,3
BKG-000029,ITI-000029,P02454,2025-06-19 19:25:00,Website,Regular,E-Wallet,True,3
BKG-000030,ITI-000030,P03676,2025-03-23 10:00:00,Mobile App,Regular,Cash,True,2
BKG-000031,ITI-000031,P03608,2025-08-10 21:54:00,Website,Regular,E-Wallet,True,3
BKG-000032,ITI-000032,P02077,2025-06-28 21:09:00,Mobile App,Flexi,E-Wallet,True,1
BKG-000033,ITI-000033,P02682,2025-06-01 19:08:00,Mobile App,Regular,Bank Transfer,True,2
BKG-000034,ITI-000034,P02965,2025-11-09 08:49:00,Mobile App,Promo,Card,False,1
BKG-000035,ITI-000035,P03778,2025-10-28 13:18:00,Website,Regular,E-Wallet,True,3
BKG-000036,ITI-000036,P03097,2025-01-15 14:41:00,Agent,Regular,Bank Transfer,True,3
