bus_fleet_id,bus_class,seat_configuration,seat_capacity,effective_start_date,effective_end_date
BUS-038,Executive,2-2,32,2024-01-01,2025-08-01
BUS-038,Economy,2-2,44,2025-08-01,
BUS-002,Executive,2-2,32,2024-01-01,2025-06-01
BUS-002,Economy,2-2,40,2025-06-01,
BUS-008,Executive,2-2,32,2024-01-01,2025-09-01
BUS-008,Sleeper,1-1,24,2025-09-01,
BUS-079,Sleeper,1-1,20,2024-01-01,2025-06-01
BUS-079,Executive,2-2,36,2025-06-01,
BUS-022,Economy,2-2,40,2024-01-01,2025-04-01
BUS-022,Executive,2-2,36,2025-04-01,
BUS-029,Sleeper,1-1,20,2024-01-01,2025-09-01
BUS-029,Economy,2-2,44,2025-09-01,
BUS-023,Executive,2-2,32,2024-01-01,2025-05-01
BUS-023,Economy,2-2,44,2025-05-01,
BUS-054,Economy,2-2,40,2024-01-01,2025-04-01
BUS-054,Sleeper,1-1,24,2025-04-01,
BUS-009,Sleeper,1-1,20,2024-01-01,2025-09-01
BUS-009,Economy,2-2,40,2025-09-01,
BUS-049,Executive,2-2,32,2024-01-01,2025-09-01
BUS-049,Economy,2-2,40,2025-09-01,
BUS-005,Economy,2-2,40,2024-01-01,2025-08-01
BUS-005,Executive,2-2,28,2025-08-01,
BUS-015,Executive,2-2,32,2024-01-01,2025-08-01
BUS-015,Economy,2-2,44,2025-08-01,
