bus_fleet_id,license_plate,bus_class,seat_configuration,seat_capacity,manufacture_year,status
BUS-001,B 7799 RE,Executive,2-2,34,2025,Active
BUS-002,N 1368 QD,Economy,2-2,40,2017,Active
BUS-003,D 1959 QE,Economy,2-2,42,2021,Maintenance
BUS-004,AB 6254 FF,Executive,2-2,34,2023,Active
BUS-005,AB 1260 FT,Executive,2-2,28,2017,Active
BUS-006,D 3898 YR,Sleeper,1-1,20,2022,Active
BUS-007,N 6883 KT,Economy,2-2,40,2015,Active
BUS-008,B 7511 TI,Sleeper,1-1,24,2023,Active
BUS-009,N 5096 LJ,Economy,2-2,40,2020,Active
BUS-010,D 9994 KB,Executive,2-2,30,2021,Active
BUS-011,B 9186 AY,Economy,2-2,42,2022,Active
BUS-012,D 6176 QC,Economy,2-2,42,2016,Maintenance
BUS-013,AB 7741 FP,Economy,2-2,42,2023,Active
BUS-014,B 1909 FA,Economy,2-2,40,2015,Active
BUS-015,D 1047 WL,Economy,2-2,44,2025,Active
BUS-016,D 8668 KV,Economy,2-2,42,2016,Active
BUS-017,L 6222 SL,Economy,2-2,44,2016,Active
BUS-018,H 9405 KN,Executive,2-2,36,2014,Active
BUS-019,L 3700 FF,Economy,2-2,44,2015,Active
BUS-020,H 1133 AU,Economy,2-2,42,2018,Active
BUS-021,D 7502 YP,Sleeper,1-1,20,2023,Active
BUS-022,L 7776 MO,Executive,2-2,36,2016,Active
BUS-023,N 6429 VM,Economy,2-2,44,2025,Active
BUS-024,N 4945 LS,Sleeper,1-1,18,2017,Active
BUS-025,B 3093 YK,Executive,2-2,36,2019,Active
BUS-026,L 5629 OA,Economy,2-2,42,2014,Active
BUS-027,N 1272 YO,Economy,2-2,44,2023,Maintenance
BUS-028,B 5315 JX,Executive,2-2,32,2015,Active
BUS-029,H 1035 LJ,Economy,2-2,44,2022,Active
BUS-030,H 3553 QJ,Economy,2-2,40,2020,Active
BUS-031,N 6202 AB,Economy,2-2,42,2018,Active
BUS-032,L 8097 LK,Sleeper,1-1,20,2022,Active
BUS-033,H 5048 QT,Economy,2-2,44,2024,Active
BUS-034,H 2077 IZ,Economy,2-2,42,2015,Active
BUS-035,N 4151 AI,Economy,2-2,42,2017,Active
BUS-036,L 2315 DQ,Economy,2-2,44,2017,Active
BUS-037,L 2544 OY,Economy,2-2,44,2017,Active
BUS-038,H 6175 UA,Economy,2-2,44,2016,Active
BUS-039,AB 9702 FI,Economy,2-2,40,2014,Active
BUS-040,N 7529 CQ,Executive,2-2,32,2019,Active
BUS-041,N 3587 SP,Economy,2-2,40,2014,Active
BUS-042,L 4538 OE,Economy,2-2,44,2014,Active
BUS-043,AB 9933 NF,Executive,2-2,28,2018,Active
BUS-044,H 8499 KA,Executive,2-2,32,2015,Active
BUS-045,L 1921 NG,Economy,2-2,40,2021,Active
BUS-046,N 4856 AY,Economy,2-2,42,2023,Maintenance
BUS-047,D 7762 QY,Executive,2-2,30,2020,Active
BUS-048,N 1189 HU,Executive,2-2,36,2021,Active
BUS-049,B 9710 UJ,Economy,2-2,40,2019,Active
BUS-050,N 8233 TB,Economy,2-2,40,2014,Active
BUS-051,L 5094 XW,Executive,2-2,34,2016,Maintenance
BUS-052,AB 5471 RB,Executive,2-2,32,2024,Active
BUS-053,B 9629 CE,Economy,2-2,40,2017,Active
BUS-054,N 5562 OG,Sleeper,1-1,24,2018,Active
BUS-055,L 4110 PU,Executive,2-2,34,2018,Maintenance
BUS-056,D 2491 QB,Economy,2-2,42,2019,Active
BUS-057,B 7021 RD,Economy,2-2,40,2019,Active
BUS-058,AB 8118 VM,Economy,2-2,44,2017,Active
BUS-059,B 4871 XR,Executive,2-2,30,2016,Active
BUS-060,H 2088 BJ,Executive,2-2,36,2022,Active
BUS-061,AB 3687 NR,Sleeper,1-1,20,2014,Active
BUS-062,B 4202 RI,Executive,2-2,28,2023,Active
BUS-063,L 5315 PL,Executive,2-2,36,2022,Active
BUS-064,N 5777 MA,Executive,2-2,34,2023,Active
BUS-065,B 4921 GM,Economy,2-2,40,2020,Active
BUS-066,N 1803 IW,Sleeper,1-1,22,2021,Active
BUS-067,B 6504 TW,Executive,2-2,32,2015,Active
BUS-068,D 7789 TX,Economy,2-2,40,2015,Active
BUS-069,AB 5805 RX,Economy,2-2,44,2018,Active
BUS-070,D 1958 LW,Economy,2-2,44,2024,Active
BUS-071,D 2626 WJ,Executive,2-2,28,2014,Active
BUS-072,B 2689 YT,Economy,2-2,42,2019,Active
BUS-073,AB 7681 ZI,Sleeper,1-1,20,2022,Active
BUS-074,AB 5703 ZN,Executive,2-2,34,2024,Active
BUS-075,L 3155 YX,Executive,2-2,30,2022,Active
BUS-076,B 3406 YN,Executive,2-2,28,2014,Active
BUS-077,D 6993 VH,Sleeper,1-1,22,2021,Active
BUS-078,N 2659 KM,Economy,2-2,44,2017,Active
BUS-079,N 7715 PM,Executive,2-2,36,2020,Active
BUS-080,H 3239 PJ,Economy,2-2,44,2019,Active
