trip_id,route_id,bus_fleet_id,scheduled_departure_ts,scheduled_arrival_ts
TRIP-000001,RTE-09,BUS-035,2025-03-22 06:00:00,2025-03-22 13:49:00
TRIP-000002,RTE-10,BUS-036,2025-03-22 18:00:00,2025-03-23 02:41:00
TRIP-000003,RTE-06,BUS-044,2025-12-08 06:00:00,2025-12-08 09:36:00
TRIP-000004,RTE-07,BUS-042,2025-12-08 12:00:00,2025-12-08 21:42:00
TRIP-000005,RTE-16,BUS-052,2025-02-08 18:00:00,2025-02-09 01:34:00
TRIP-000006,RTE-17,BUS-035,2025-02-09 06:00:00,2025-02-09 08:39:00
TRIP-000007,RTE-18,BUS-038,2025-02-09 12:00:00,2025-02-09 21:00:00
TRIP-000008,RTE-24,BUS-028,2025-12-08 06:00:00,2025-12-08 17:14:00
TRIP-000009,RTE-25,BUS-049,2025-12-08 18:00:00,2025-12-09 03:38:00
TRIP-000010,RTE-25,BUS-054,2025-06-08 06:00:00,2025-06-08 15:38:00
TRIP-000011,RTE-04,BUS-071,2025-10-08 12:00:00,2025-10-08 18:03:00
TRIP-000012,RTE-18,BUS-043,2025-06-08 12:00:00,2025-06-08 21:00:00
TRIP-000013,RTE-19,BUS-001,2025-06-09 00:00:00,2025-06-09 03:11:00
TRIP-000014,RTE-16,BUS-078,2025-04-08 12:00:00,2025-04-08 19:34:00
TRIP-000015,RTE-17,BUS-052,2025-04-09 00:00:00,2025-04-09 02:39:00
TRIP-000016,RTE-11,BUS-002,2025-05-22 06:00:00,2025-05-22 14:14:00
TRIP-000017,RTE-12,BUS-044,2025-05-22 18:00:00,2025-05-22 22:27:00
TRIP-000018,RTE-13,BUS-034,2025-05-23 00:00:00,2025-05-23 06:37:00
TRIP-000019,RTE-14,BUS-019,2025-04-08 06:00:00,2025-04-08 18:02:00
TRIP-000020,RTE-15,BUS-038,2025-04-08 18:00:00,2025-04-08 23:11:00
TRIP-000021,RTE-16,BUS-064,2025-04-09 00:00:00,2025-04-09 07:34:00
TRIP-000022,RTE-06,BUS-080,2025-06-08 18:00:00,2025-06-08 21:36:00
