claim_id,ticket_number,claim_type,refund_amount,compensation_amount,rebooking_cost,rebooking_ts,claim_submitted_ts,claim_resolution_ts,claim_status
CLM-000001,TICK-000020,Missed Connection,62000,75000,39000,2025-04-09 06:36:00,2025-04-08 23:36:00,2025-04-12 23:36:00,Approved
CLM-000002,TICK-000027,Missed Connection,78000,50000,55000,2025-10-09 19:25:00,2025-10-09 18:25:00,2025-10-11 18:25:00,Approved
CLM-000003,TICK-000039,Missed Connection,104000,50000,65000,2025-06-09 09:10:00,2025-06-09 06:10:00,2025-06-13 06:10:00,Approved
CLM-000004,TICK-000041,Missed Connection,104000,50000,65000,2025-07-09 05:42:00,2025-07-09 02:42:00,2025-07-11 02:42:00,Approved
CLM-000005,TICK-000057,Missed Connection,98000,75000,65000,2025-09-10 04:34:00,2025-09-09 22:34:00,2025-09-10 22:34:00,Approved
CLM-000006,TICK-000059,Missed Connection,186000,75000,117000,2025-07-09 09:25:00,2025-07-09 04:25:00,2025-07-11 04:25:00,Approved
CLM-000007,TICK-000084,Missed Connection,108000,75000,68000,2025-11-23 09:41:00,2025-11-23 05:41:00,2025-11-25 05:41:00,Approved
CLM-000008,TICK-000103,Missed Connection,82000,50000,52000,2025-01-09 05:21:00,2025-01-09 02:21:00,2025-01-10 02:21:00,Approved
CLM-000009,TICK-000105,Missed Connection,215000,75000,142000,2025-07-09 12:09:00,2025-07-09 04:09:00,2025-07-14 04:09:00,Approved
CLM-000010,TICK-000124,Missed Connection,99000,100000,65000,2025-07-23 00:45:00,2025-07-22 21:45:00,2025-07-25 21:45:00,Approved
CLM-000011,TICK-000129,Missed Connection,138000,50000,87000,2025-06-08 22:05:00,2025-06-08 20:05:00,2025-06-10 20:05:00,Approved
CLM-000012,TICK-000141,Missed Connection,82000,50000,52000,2025-08-09 10:41:00,2025-08-09 07:41:00,2025-08-13 07:41:00,Approved
CLM-000013,TICK-000144,Missed Connection,215000,50000,142000,2025-12-23 10:39:00,2025-12-23 06:39:00,2025-12-24 06:39:00,Approved
CLM-000014,TICK-000149,Missed Connection,118000,100000,78000,2025-09-08 22:03:00,2025-09-08 20:03:00,2025-09-09 20:03:00,Approved
CLM-000015,TICK-000154,Missed Connection,40000,75000,28000,2025-10-09 08:47:00,2025-10-09 01:47:00,2025-10-14 01:47:00,Approved
CLM-000016,TICK-000161,Missed Connection,154000,75000,97000,2025-10-23 13:02:00,2025-10-23 08:02:00,2025-10-25 08:02:00,Approved
CLM-000017,TICK-000172,Missed Connection,99000,50000,62000,2025-06-23 02:39:00,2025-06-23 01:39:00,2025-06-24 01:39:00,Approved
CLM-000018,TICK-000177,Missed Connection,99000,75000,62000,2025-07-09 08:41:00,2025-07-09 05:41:00,2025-07-12 05:41:00,Approved
CLM-000019,TICK-000181,Missed Connection,140000,75000,98000,2025-12-23 08:39:00,2025-12-23 06:39:00,2025-12-26 06:39:00,Approved
CLM-000020,TICK-000199,Missed Connection,124000,75000,78000,2025-10-09 16:02:00,2025-10-09 08:02:00,2025-10-13 08:02:00,Approved
CLM-000021,TICK-000202,Missed Connection,162000,75000,114000,2025-07-08 17:35:00,2025-07-08 15:35:00,2025-07-12 15:35:00,Approved
CLM-000022,TICK-000233,Missed Connection,198000,75000,132000,2025-10-23 09:36:00,2025-10-23 05:36:00,2025-10-26 05:36:00,Approved
CLM-000023,TICK-000237,Missed Connection,103000,75000,65000,2025-01-08 19:10:00,2025-01-08 16:10:00,2025-01-10 16:10:00,Rejected
CLM-000024,TICK-000242,Missed Connection,112000,50000,75000,2025-08-09 12:41:00,2025-08-09 06:41:00,2025-08-12 06:41:00,Approved
CLM-000025,TICK-000259,Missed Connection,105000,100000,70000,2025-07-09 04:43:00,2025-07-09 00:43:00,2025-07-13 00:43:00,Approved
CLM-000026,TICK-000264,Missed Connection,96000,50000,61000,2025-09-23 10:54:00,2025-09-23 04:54:00,2025-09-25 04:54:00,Approved
CLM-000027,TICK-000269,Missed Connection,120000,100000,76000,2025-01-23 17:53:00,2025-01-23 12:53:00,,Pending
CLM-000028,TICK-000275,Missed Connection,104000,50000,65000,2025-06-23 02:27:00,2025-06-23 00:27:00,2025-06-28 00:27:00,Approved
CLM-000029,TICK-000298,Missed Connection,106000,75000,71000,2025-07-23 10:03:00,2025-07-23 04:03:00,2025-07-25 04:03:00,Approved
CLM-000030,TICK-000300,Missed Connection,105000,75000,70000,2025-07-08 14:16:00,2025-07-08 13:16:00,2025-07-10 13:16:00,Approved
CLM-000031,TICK-000311,Missed Connection,86000,50000,55000,2025-01-09 15:10:00,2025-01-09 08:10:00,2025-01-10 08:10:00,Approved
CLM-000032,TICK-000336,Missed Connection,74000,100000,47000,2025-07-23 19:39:00,2025-07-23 12:39:00,2025-07-26 12:39:00,Approved
CLM-000033,TICK-000340,Missed Connection,226000,75000,142000,2025-12-22 22:39:00,2025-12-22 21:39:00,,Pending
CLM-000034,TICK-000346,Missed Connection,78000,75000,55000,2025-10-09 12:25:00,2025-10-09 07:25:00,2025-10-10 07:25:00,Approved
CLM-000035,TICK-000348,Missed Connection,186000,75000,117000,2025-12-23 02:09:00,2025-12-22 22:09:00,,Pending
CLM-000036,TICK-000353,Missed Connection,216000,50000,152000,2025-07-23 08:25:00,2025-07-23 02:25:00,2025-07-25 02:25:00,Approved
CLM-000037,TICK-000383,Missed Connection,187000,50000,118000,2025-06-08 22:51:00,2025-06-08 21:51:00,2025-06-10 21:51:00,Approved
CLM-000038,TICK-000408,Missed Connection,54000,50000,34000,2025-06-10 03:59:00,2025-06-09 22:59:00,2025-06-14 22:59:00,Approved
CLM-000039,TICK-000413,Missed Connection,124000,50000,78000,2025-07-23 13:10:00,2025-07-23 11:10:00,2025-07-25 11:10:00,Approved
CLM-000040,TICK-000433,Missed Connection,118000,100000,78000,2025-04-09 04:36:00,2025-04-08 23:36:00,2025-04-09 23:36:00,Approved
CLM-000041,TICK-000438,Missed Connection,150000,50000,105000,2025-12-09 02:35:00,2025-12-09 01:35:00,,Pending
CLM-000042,TICK-000443,Missed Connection,93000,75000,59000,2025-07-09 11:16:00,2025-07-09 07:16:00,2025-07-12 07:16:00,Approved
CLM-000043,TICK-000447,Missed Connection,119000,50000,75000,2025-09-23 07:06:00,2025-09-23 06:06:00,2025-09-24 06:06:00,Approved
