loyalty_transaction_id,passenger_id,transaction_ts,transaction_type,points_transacted,points_balance_after,reference_id
LTX-0000001,P03859,2025-02-20 09:00:00,EARN,39,39,BKG-000001
LTX-0000002,P03859,2025-06-22 09:00:00,EARN,27,66,BKG-003803
LTX-0000003,P03859,2025-07-10 09:00:00,EARN,42,108,BKG-007100
LTX-0000004,P03859,2025-08-26 09:00:00,EARN,16,124,BKG-007082
LTX-0000005,P03103,2025-07-28 09:00:00,EARN,40,40,BKG-007177
LTX-0000006,P03103,2025-11-08 09:00:00,EARN,38,78,BKG-000002
LTX-0000007,P02445,2025-01-12 09:00:00,EARN,52,52,BKG-000003
LTX-0000008,P02445,2025-03-18 09:00:00,EARN,28,80,BKG-000279
LTX-0000009,P02445,2025-06-01 09:00:00,EARN,27,107,BKG-003504
LTX-0000010,P02445,2025-06-06 09:00:00,EARN,64,171,BKG-010645
LTX-0000011,P03966,2025-09-26 09:00:00,EARN,7,7,BKG-004338
LTX-0000012,P03966,2025-10-06 09:00:00,EARN,20,27,BKG-011089
LTX-0000013,P03966,2025-10-06 18:00:00,REDEEM,-20,7,BKG-011089
LTX-0000014,P03966,2025-11-11 09:00:00,EARN,60,67,BKG-000004
LTX-0000015,P00259,2025-05-20 09:00:00,EARN,43,43,BKG-000005
LTX-0000016,P00259,2025-08-29 09:00:00,EARN,63,106,BKG-002920
LTX-0000017,P00259,2025-09-27 09:00:00,EARN,18,124,BKG-001422
LTX-0000018,P00259,2025-10-14 09:00:00,EARN,14,138,BKG-006719
LTX-0000019,P03735,2025-02-03 09:00:00,EARN,62,62,BKG-010289
LTX-0000020,P03735,2025-02-10 09:00:00,EARN,70,132,BKG-003259
LTX-0000021,P03735,2025-10-01 09:00:00,EARN,17,149,BKG-000006
LTX-0000022,P03735,2025-11-28 09:00:00,EARN,40,189,BKG-001572
LTX-0000023,P03735,2025-12-05 09:00:00,EARN,41,230,BKG-009937
LTX-0000024,P01426,2025-01-11 09:00:00,EARN,16,16,BKG-009918
LTX-0000025,P01426,2025-05-17 09:00:00,EARN,45,61,BKG-000007
LTX-0000026,P01426,2025-08-18 09:00:00,EARN,16,77,BKG-011778
LTX-0000027,P02880,2025-03-29 09:00:00,EARN,27,27,BKG-000008
LTX-0000028,P02880,2025-06-02 09:00:00,EARN,42,69,BKG-006776
LTX-0000029,P00604,2025-04-30 09:00:00,EARN,46,46,BKG-000009
LTX-0000030,P02016,2025-03-03 09:00:00,EARN,69,69,BKG-002696
LTX-0000031,P02016,2025-03-03 18:00:00,REDEEM,-20,49,BKG-002696
LTX-0000032,P02016,2025-03-13 09:00:00,EARN,62,111,BKG-000010
LTX-0000033,P02016,2025-11-09 09:00:00,EARN,66,177,BKG-005641
