ticket_number,passenger_id,trip_id,travel_status,check_in_ts,boarding_ts,scheduled_connection_minutes,actual_connection_minutes,missed_connection_count
TICK-000001,P03859,TRIP-000001,COMPLETED,2025-03-22 05:11:00,2025-03-22 05:36:00,,,0
TICK-000002,P03859,TRIP-000002,COMPLETED,2025-03-22 16:48:00,2025-03-22 17:45:00,251,251,0
TICK-000003,P03103,TRIP-000003,COMPLETED,2025-12-08 04:59:00,2025-12-08 05:46:00,,,0
TICK-000004,P03103,TRIP-000004,COMPLETED,2025-12-08 10:32:00,2025-12-08 11:34:00,144,140,0
TICK-000005,P02445,TRIP-000005,COMPLETED,2025-02-08 17:20:00,2025-02-08 17:32:00,,,0
TICK-000006,P02445,TRIP-000006,COMPLETED,2025-02-09 04:57:00,2025-02-09 05:45:00,266,265,0
TICK-000007,P02445,TRIP-000007,COMPLETED,2025-02-09 11:23:00,2025-02-09 11:35:00,201,188,0
TICK-000008,P03966,TRIP-000008,COMPLETED,2025-12-08 04:55:00,2025-12-08 05:47:00,,,0
TICK-000009,P03966,TRIP-000009,COMPLETED,2025-12-08 17:04:00,2025-12-08 17:49:00,46,70,0
TICK-000010,P00259,TRIP-000010,COMPLETED,2025-06-08 04:58:00,2025-06-08 05:47:00,,,0
TICK-000011,P03735,TRIP-000011,COMPLETED,2025-10-08 10:43:00,2025-10-08 11:43:00,,,0
TICK-000012,P01426,TRIP-000012,COMPLETED,2025-06-08 10:47:00,2025-06-08 11:49:00,,,0
TICK-000013,P01426,TRIP-000013,COMPLETED,2025-06-08 22:55:00,2025-06-08 23:50:00,180,220,0
TICK-000014,P02880,TRIP-000014,COMPLETED,2025-04-08 10:33:00,2025-04-08 11:32:00,,,0
TICK-000015,P02880,TRIP-000015,COMPLETED,2025-04-08 23:23:00,2025-04-08 23:48:00,266,269,0
TICK-000016,P00604,TRIP-000016,COMPLETED,2025-05-22 05:22:00,2025-05-22 05:34:00,,,0
TICK-000017,P00604,TRIP-000017,COMPLETED,2025-05-22 17:04:00,2025-05-22 17:41:00,226,216,0
TICK-000018,P00604,TRIP-000018,COMPLETED,2025-05-22 23:10:00,2025-05-22 23:30:00,93,71,0
TICK-000019,P02016,TRIP-000019,COMPLETED,2025-04-08 04:38:00,2025-04-08 05:40:00,,,0
TICK-000020,P02016,TRIP-000020,MISSED_CONNECTION,,,-2,-10,1
TICK-000021,P02016,TRIP-000021,CANCELLED_AFTER_DISRUPTION,,,,,0
TICK-000022,P01618,TRIP-000022,COMPLETED,2025-06-08 16:59:00,2025-06-08 17:38:00,,,0
TICK-000023,P01618,TRIP-000023,COMPLETED,2025-06-08 23:19:00,2025-06-08 23:46:00,144,99,0
TICK-000024,P01618,TRIP-000024,COMPLETED,2025-06-09 11:04:00,2025-06-09 11:32:00,138,138,0
TICK-000025,P01205,TRIP-000025,COMPLETED,2025-10-08 16:52:00,2025-10-08 17:41:00,,,0
TICK-000026,P01205,TRIP-000026,COMPLETED,2025-10-08 22:50:00,2025-10-08 23:48:00,169,169,0
TICK-000027,P01205,TRIP-000027,MISSED_CONNECTION,,,-10,-25,1
TICK-000028,P00522,TRIP-000028,COMPLETED,2025-07-08 11:00:00,2025-07-08 11:30:00,,,0
TICK-000029,P00522,TRIP-000029,COMPLETED,2025-07-08 22:50:00,2025-07-08 23:43:00,180,173,0
TICK-000030,P01174,TRIP-000030,COMPLETED,2025-10-08 04:46:00,2025-10-08 05:33:00,,,0
TICK-000031,P01174,TRIP-000031,COMPLETED,2025-10-08 11:11:00,2025-10-08 11:49:00,120,120,0
TICK-000032,P02661,TRIP-000032,COMPLETED,2025-12-22 17:06:00,2025-12-22 17:43:00,,,0
