passenger_id,loyalty_tier,effective_start_date,effective_end_date
P00001,Basic,2024-08-03,
P00002,Gold,2024-08-19,
P00003,Gold,2023-09-29,
P00004,Gold,2023-07-19,
P00005,Basic,2023-03-15,
P00006,Gold,2024-11-21,
P00007,Basic,2024-05-01,
P00008,Gold,2023-12-03,
P00009,Basic,2024-09-15,2025-07-17
P00009,Gold,2025-07-17,
P00010,Basic,2023-08-22,
P00011,Basic,2024-01-21,
P00012,Basic,2023-09-27,
P00013,Basic,2024-08-05,
P00014,Basic,2023-07-19,
P00015,Gold,2023-05-05,
P00016,Basic,2024-11-07,
P00017,Gold,2023-06-16,2025-08-08
P00017,Platinum,2025-08-08,
P00018,Basic,2024-07-10,2025-10-14
P00018,Gold,2025-10-14,
P00019,Basic,2023-08-23,
P00020,Basic,2023-05-24,
P00021,Gold,2023-05-21,
P00022,Basic,2023-10-18,
P00023,Basic,2024-10-30,
P00024,Gold,2023-06-16,
P00025,Basic,2023-07-24,
P00026,Basic,2023-09-15,
P00027,Basic,2024-01-13,
P00028,Basic,2023-06-24,
P00029,Gold,2023-09-24,
P00030,Gold,2024-03-05,
P00031,Basic,2023-10-08,
P00032,Basic,2023-08-28,
P00033,Basic,2024-05-13,
P00034,Basic,2024-03-03,
P00035,Basic,2024-01-17,
P00036,Basic,2023-07-18,
P00037,Basic,2023-08-06,
P00038,Basic,2023-07-05,
P00039,Gold,2024-07-17,
P00040,Basic,2023-10-08,2025-09-24
P00040,Gold,2025-09-24,
P00041,Platinum,2024-11-18,
P00042,Basic,2023-12-13,
P00043,Basic,2024-11-06,
P00044,Gold,2024-01-04,
P00045,Gold,2023-03-10,2025-07-13
P00045,Platinum,2025-07-13,
P00046,Basic,2023-03-05,
P00047,Basic,2024-09-22,2025-08-14
P00047,Gold,2025-08-14,
P00048,Basic,2024-10-17,
P00049,Basic,2023-02-15,
P00050,Basic,2024-07-23,2025-10-13
P00050,Gold,2025-10-13,
P00051,Basic,2024-07-14,
P00052,Basic,2023-09-24,
P00053,Basic,2024-05-25,
P00054,Basic,2023-10-04,2025-07-12
P00054,Gold,2025-07-12,
P00055,Basic,2024-08-02,
P00056,Gold,2024-08-28,2025-03-25
P00056,Platinum,2025-03-25,
P00057,Basic,2023-02-10,
P00058,Basic,2023-01-16,2025-10-04
P00058,Gold,2025-10-04,
P00059,Basic,2023-05-07,
P00060,Basic,2023-03-08,
P00061,Basic,2024-04-27,
P00062,Basic,2024-07-20,
P00063,Basic,2024-06-10,2025-06-01
P00063,Gold,2025-06-01,
P00064,Basic,2024-05-27,2025-05-21
P00064,Gold,2025-05-21,
P00065,Basic,2024-09-28,
P00066,Basic,2024-09-29,
P00067,Basic,2024-03-14,2025-03-26
P00067,Gold,2025-03-26,
P00068,Basic,2024-01-20,
P00069,Basic,2023-12-10,
P00070,Basic,2023-03-14,
P00071,Basic,2023-04-04,
P00072,Gold,2023-11-15,
P00073,Basic,2023-10-31,
P00074,Gold,2023-09-12,
P00075,Basic,2024-07-30,
P00076,Basic,2024-11-12,
P00077,Basic,2024-08-09,2025-03-11
P00077,Gold,2025-03-11,
P00078,Basic,2023-12-06,
P00079,Basic,2023-09-25,
P00080,Gold,2024-04-01,
P00081,Basic,2024-05-29,
P00082,Basic,2023-01-02,
P00083,Basic,2024-04-13,
P00084,Platinum,2024-03-07,
P00085,Gold,2024-09-02,
P00086,Gold,2023-06-25,
P00087,Basic,2024-01-12,
P00088,Basic,2024-03-29,
P00089,Gold,2024-07-01,
P00090,Platinum,2023-11-30,
P00091,Gold,2023-12-17,
P00092,Basic,2023-08-22,
P00093,Basic,2023-04-18,2025-06-15
P00093,Gold,2025-06-15,
P00094,Platinum,2024-11-27,
P00095,Gold,2023-10-11,
P00096,Basic,2023-11-17,
P00097,Platinum,2024-08-21,
P00098,Basic,2023-04-16,2025-06-10
P00098,Gold,2025-06-10,
P00099,Gold,2023-06-23,
P00100,Basic,2024-08-17,
P00101,Basic,2024-03-10,
P00102,Basic,2024-05-22,
P00103,Basic,2023-12-03,
P00104,Basic,2023-02-27,
P00105,Basic,2023-09-27,
P00106,Basic,2023-06-01,
P00107,Basic,2023-05-30,2025-03-31
P00107,Gold,2025-03-31,
P00108,Gold,2023-02-13,
P00109,Basic,2024-01-28,2025-08-05
P00109,Gold,2025-08-05,
P00110,Platinum,2024-08-16,
P00111,Basic,2024-09-19,
P00112,Basic,2023-12-12,
P00113,Gold,2024-03-25,
P00114,Basic,2023-04-13,2025-03-24
P00114,Gold,2025-03-24,
P00115,Basic,2024-01-18,
P00116,Basic,2023-09-17,
P00117,Gold,2023-01-30,
P00118,Basic,2023-08-16,
P00119,Basic,2023-12-10,
P00120,Basic,2024-06-27,
P00121,Basic,2023-09-18,
P00122,Basic,2023-09-04,
P00123,Platinum,2023-12-29,
P00124,Basic,2024-02-06,
P00125,Basic,2023-05-20,
P00126,Gold,2023-01-07,
P00127,Platinum,2023-02-23,
P00128,Basic,2024-05-02,
P00129,Basic,2023-10-20,2025-07-23
P00129,Gold,2025-07-23,
P00130,Basic,2024-07-22,
P00131,Gold,2023-08-03,
P00132,Basic,2024-04-21,
P00133,Basic,2024-01-03,2025-06-27
P00133,Gold,2025-06-27,
P00134,Basic,2023-03-06,2025-08-26
P00134,Gold,2025-08-26,
P00135,Platinum,2024-11-21,
P00136,Basic,2023-08-16,
P00137,Basic,2024-09-07,
P00138,Basic,2023-05-10,2025-10-28
P00138,Gold,2025-10-28,
P00139,Basic,2024-05-27,
P00140,Basic,2023-08-08,
P00141,Basic,2023-03-22,
P00142,Basic,2024-03-21,
P00143,Basic,2023-11-24,
P00144,Basic,2024-02-26,
P00145,Basic,2023-04-17,
P00146,Basic,2023-02-11,
P00147,Platinum,2024-02-01,
P00148,Basic,2023-06-17,
P00149,Basic,2023-11-30,
P00150,Gold,2024-06-07,
P00151,Basic,2023-06-11,
P00152,Platinum,2023-03-20,
P00153,Basic,2023-09-20,
P00154,Gold,2024-02-29,
P00155,Gold,2023-01-08,
P00156,Basic,2023-10-28,
P00157,Basic,2023-03-22,
P00158,Gold,2024-07-21,
P00159,Gold,2023-01-20,
P00160,Basic,2024-06-02,
P00161,Basic,2024-07-24,2025-03-15
P00161,Gold,2025-03-15,
P00162,Basic,2023-01-06,
P00163,Platinum,2023-05-23,
P00164,Basic,2023-05-27,
P00165,Basic,2024-01-05,
P00166,Basic,2024-10-04,
P00167,Basic,2024-03-14,2025-07-08
P00167,Gold,2025-07-08,
P00168,Basic,2024-09-01,
P00169,Basic,2024-06-11,
P00170,Basic,2023-11-17,
P00171,Basic,2023-09-26,
P00172,Basic,2024-01-21,
P00173,Basic,2023-03-22,
P00174,Basic,2024-05-16,2025-08-31
P00174,Gold,2025-08-31,
P00175,Basic,2024-06-24,2025-06-20
P00175,Gold,2025-06-20,
P00176,Basic,2023-09-21,
P00177,Gold,2023-02-22,
P00178,Basic,2024-11-23,
P00179,Basic,2023-12-06,2025-09-21
P00179,Gold,2025-09-21,
P00180,Platinum,2024-04-19,
P00181,Basic,2023-04-05,
P00182,Platinum,2024-03-17,
P00183,Gold,2023-05-23,
P00184,Gold,2024-08-24,
P00185,Basic,2024-10-21,
P00186,Gold,2023-11-03,
P00187,Basic,2023-03-15,2025-10-17
P00187,Gold,2025-10-17,
P00188,Basic,2024-11-05,2025-07-16
P00188,Gold,2025-07-16,
P00189,Platinum,2024-11-14,
P00190,Basic,2023-03-27,
P00191,Basic,2023-12-26,
P00192,Basic,2024-01-08,
P00193,Basic,2024-04-02,
P00194,Basic,2023-07-21,2025-04-19
P00194,Gold,2025-04-19,
P00195,Basic,2023-04-10,
P00196,Gold,2023-07-11,
P00197,Gold,2023-08-14,
P00198,Basic,2024-01-16,
P00199,Basic,2024-11-06,
P00200,Basic,2023-06-08,
P00201,Basic,2024-09-16,
P00202,Gold,2024-08-16,
P00203,Basic,2024-03-27,
P00204,Basic,2023-06-14,
P00205,Basic,2024-10-26,
P00206,Basic,2023-05-07,
P00207,Platinum,2023-12-04,
P00208,Basic,2023-06-24,2025-10-26
P00208,Gold,2025-10-26,
P00209,Basic,2024-05-22,
P00210,Basic,2024-08-31,2025-04-23
P00210,Gold,2025-04-23,
P00211,Basic,2023-03-11,
P00212,Basic,2023-05-23,
P00213,Basic,2024-04-03,2025-05-31
P00213,Gold,2025-05-31,
P00214,Basic,2023-10-27,2025-03-05
P00214,Gold,2025-03-05,
P00215,Basic,2023-05-13,
P00216,Basic,2024-04-04,2025-09-11
P00216,Gold,2025-09-11,
P00217,Platinum,2024-02-21,
P00218,Basic,2024-11-13,
P00219,Gold,2023-05-02,
P00220,Gold,2023-08-05,2025-09-22
P00220,Platinum,2025-09-22,
P00221,Basic,2023-07-15,2025-09-26
P00221,Gold,2025-09-26,
P00222,Basic,2023-07-12,
P00223,Basic,2023-12-04,
P00224,Basic,2024-03-19,
P00225,Basic,2024-01-26,
P00226,Basic,2024-06-02,
P00227,Gold,2023-12-18,2025-06-27
P00227,Platinum,2025-06-27,
P00228,Basic,2024-03-29,
P00229,Gold,2023-07-07,
P00230,Basic,2024-11-28,
P00231,Basic,2024-03-19,
P00232,Basic,2023-11-08,2025-07-30
P00232,Gold,2025-07-30,
P00233,Gold,2024-04-14,
P00234,Platinum,2023-11-04,
P00235,Basic,2024-02-02,
P00236,Gold,2024-02-03,
P00237,Basic,2023-05-21,2025-08-27
P00237,Gold,2025-08-27,
P00238,Basic,2023-10-16,
P00239,Basic,2024-08-21,2025-05-26
P00239,Gold,2025-05-26,
P00240,Basic,2023-10-25,
P00241,Platinum,2023-05-31,
P00242,Basic,2023-08-27,
P00243,Gold,2023-03-07,
P00244,Basic,2023-01-16,
P00245,Basic,2023-07-13,
P00246,Basic,2023-04-02,
P00247,Platinum,2024-04-15,
P00248,Basic,2023-06-28,
P00249,Basic,2023-07-03,
P00250,Basic,2023-06-13,
P00251,Gold,2023-03-06,
P00252,Basic,2024-03-28,
P00253,Basic,2024-11-03,2025-07-05
P00253,Gold,2025-07-05,
P00254,Platinum,2023-08-06,
P00255,Basic,2023-11-16,2025-03-27
P00255,Gold,2025-03-27,
P00256,Basic,2023-10-22,
P00257,Basic,2023-03-02,2025-05-20
P00257,Gold,2025-05-20,
P00258,Gold,2024-08-25,
P00259,Basic,2023-08-19,2025-03-29
P00259,Gold,2025-03-29,
P00260,Gold,2024-05-21,
P00261,Basic,2023-04-04,2025-05-01
P00261,Gold,2025-05-01,
P00262,Platinum,2023-08-13,
P00263,Gold,2023-05-19,
P00264,Basic,2024-08-31,
P00265,Basic,2024-09-29,2025-07-01
P00265,Gold,2025-07-01,
P00266,Platinum,2024-08-24,
P00267,Basic,2024-09-23,
P00268,Basic,2024-08-13,2025-10-07
P00268,Gold,2025-10-07,
P00269,Gold,2023-03-23,
P00270,Basic,2024-08-20,
P00271,Gold,2023-10-09,2025-09-14
P00271,Platinum,2025-09-14,
P00272,Basic,2024-01-11,
P00273,Basic,2024-04-07,
P00274,Basic,2023-09-30,
P00275,Basic,2023-08-19,
P00276,Basic,2024-05-04,
P00277,Basic,2024-06-19,
P00278,Basic,2024-01-19,
P00279,Basic,2024-05-14,
P00280,Basic,2023-02-18,
P00281,Basic,2023-03-17,
P00282,Gold,2023-11-17,
P00283,Basic,2023-08-27,
P00284,Basic,2023-12-04,
P00285,Basic,2023-07-30,
P00286,Gold,2024-11-09,
P00287,Basic,2024-10-08,
P00288,Gold,2024-01-30,
P00289,Basic,2024-05-05,2025-04-16
P00289,Gold,2025-04-16,
P00290,Gold,2023-11-23,
P00291,Basic,2024-08-19,
P00292,Basic,2024-10-08,2025-06-17
P00292,Gold,2025-06-17,
P00293,Gold,2024-09-25,
P00294,Gold,2023-04-09,
P00295,Platinum,2023-09-08,
P00296,Basic,2024-02-13,
P00297,Basic,2023-09-08,2025-05-20
P00297,Gold,2025-05-20,
P00298,Gold,2023-02-17,
P00299,Basic,2024-10-14,
P00300,Basic,2023-08-01,
P00301,Gold,2024-02-12,2025-04-03
P00301,Platinum,2025-04-03,
P00302,Platinum,2024-03-01,
P00303,Basic,2024-05-06,
P00304,Gold,2024-11-01,2025-06-08
P00304,Platinum,2025-06-08,
P00305,Platinum,2023-10-29,
P00306,Basic,2023-04-22,
P00307,Basic,2023-12-20,
P00308,Basic,2023-05-26,2025-07-22
P00308,Gold,2025-07-22,
P00309,Basic,2024-07-15,2025-05-05
P00309,Gold,2025-05-05,
P00310,Basic,2023-10-30,
P00311,Gold,2024-05-24,
P00312,Basic,2023-02-16,
P00313,Basic,2023-06-04,
P00314,Basic,2024-04-15,
P00315,Basic,2024-01-25,
