ticket_number,booking_id,itinerary_id,passenger_id,leg_sequence,total_legs,trip_id,route_id,origin_terminal_id,destination_terminal_id,base_fare,discount_amount,tax_amount,net_ticket_revenue,loyalty_points_earned,loyalty_points_redeemed,promotion_code
TICK-000001,BKG-000001,ITI-000001,P03859,1,2,TRIP-000001,RTE-09,TRM-09,TRM-10,165000,0,18000,183000,18,0,
TICK-000002,BKG-000001,ITI-000001,P03859,2,2,TRIP-000002,RTE-10,TRM-10,TRM-11,185000,0,20000,205000,20,0,
TICK-000003,BKG-000002,ITI-000002,P03103,1,2,TRIP-000003,RTE-06,TRM-06,TRM-07,122000,6000,13000,129000,13,0,APP5
TICK-000004,BKG-000002,ITI-000002,P03103,2,2,TRIP-000004,RTE-07,TRM-07,TRM-08,235000,12000,25000,248000,25,0,APP5
TICK-000005,BKG-000003,ITI-000003,P02445,1,3,TRIP-000005,RTE-16,TRM-16,TRM-17,216000,0,24000,240000,24,0,
TICK-000006,BKG-000003,ITI-000003,P02445,2,3,TRIP-000006,RTE-17,TRM-17,TRM-18,55000,0,6000,61000,6,0,
TICK-000007,BKG-000003,ITI-000003,P02445,3,3,TRIP-000007,RTE-18,TRM-18,TRM-19,196000,0,22000,218000,22,0,
TICK-000008,BKG-000004,ITI-000004,P03966,1,2,TRIP-000008,RTE-24,TRM-24,TRM-25,348000,35000,34000,347000,35,0,EARLY10
TICK-000009,BKG-000004,ITI-000004,P03966,2,2,TRIP-000009,RTE-25,TRM-25,TRM-01,257000,26000,25000,256000,26,0,EARLY10
TICK-000010,BKG-000005,ITI-000005,P00259,1,1,TRIP-000010,RTE-25,TRM-25,TRM-01,433000,43000,43000,433000,43,0,EARLY10
TICK-000011,BKG-000006,ITI-000006,P03735,1,1,TRIP-000011,RTE-04,TRM-04,TRM-05,164000,8000,17000,173000,17,0,PEAK5
TICK-000012,BKG-000007,ITI-000007,P01426,1,2,TRIP-000012,RTE-18,TRM-18,TRM-19,294000,0,32000,326000,33,0,
TICK-000013,BKG-000007,ITI-000007,P01426,2,2,TRIP-000013,RTE-19,TRM-19,TRM-20,112000,0,12000,124000,12,0,
TICK-000014,BKG-000008,ITI-000008,P02880,1,2,TRIP-000014,RTE-16,TRM-16,TRM-17,173000,0,19000,192000,19,0,
TICK-000015,BKG-000008,ITI-000008,P02880,2,2,TRIP-000015,RTE-17,TRM-17,TRM-18,68000,0,7000,75000,8,0,
TICK-000016,BKG-000009,ITI-000009,P00604,1,3,TRIP-000016,RTE-11,TRM-11,TRM-12,174000,0,19000,193000,19,0,
TICK-000017,BKG-000009,ITI-000009,P00604,2,3,TRIP-000017,RTE-12,TRM-12,TRM-13,110000,0,12000,122000,12,0,
TICK-000018,BKG-000009,ITI-000009,P00604,3,3,TRIP-000018,RTE-13,TRM-13,TRM-14,135000,0,15000,150000,15,0,
TICK-000019,BKG-000010,ITI-000010,P02016,1,3,TRIP-000019,RTE-14,TRM-14,TRM-15,229000,0,25000,254000,25,0,
TICK-000020,BKG-000010,ITI-000010,P02016,2,3,TRIP-000020,RTE-15,TRM-15,TRM-16,112000,0,12000,124000,12,0,
TICK-000021,BKG-000010,ITI-000010,P02016,3,3,TRIP-000021,RTE-16,TRM-16,TRM-17,216000,0,24000,240000,24,0,
TICK-000022,BKG-000011,ITI-000011,P01618,1,3,TRIP-000022,RTE-06,TRM-06,TRM-07,98000,0,11000,109000,11,0,
TICK-000023,BKG-000011,ITI-000011,P01618,2,3,TRIP-000023,RTE-07,TRM-07,TRM-08,294000,0,32000,326000,33,0,
TICK-000024,BKG-000011,ITI-000011,P01618,3,3,TRIP-000024,RTE-08,TRM-08,TRM-09,155000,0,17000,172000,17,0,
TICK-000025,BKG-000012,ITI-000012,P01205,1,3,TRIP-000025,RTE-19,TRM-19,TRM-20,94000,9000,9000,94000,9,0,EARLY10
TICK-000026,BKG-000012,ITI-000012,P01205,2,3,TRIP-000026,RTE-20,TRM-20,TRM-21,186000,19000,18000,185000,18,0,EARLY10
TICK-000027,BKG-000012,ITI-000012,P01205,3,3,TRIP-000027,RTE-21,TRM-21,TRM-22,156000,16000,15000,155000,16,0,EARLY10
TICK-000028,BKG-000013,ITI-000013,P00522,1,2,TRIP-000028,RTE-18,TRM-18,TRM-19,235000,0,26000,261000,26,0,
TICK-000029,BKG-000013,ITI-000013,P00522,2,2,TRIP-000029,RTE-19,TRM-19,TRM-20,90000,0,10000,100000,10,0,
TICK-000030,BKG-000014,ITI-000014,P01174,1,2,TRIP-000030,RTE-26,TRM-01,TRM-05,157000,0,17000,174000,17,0,
