trip_id,actual_departure_ts,actual_arrival_ts,departure_delay_minutes,arrival_delay_minutes,disruption_reason,severity_level
TRIP-000001,2025-03-22 06:09:00,2025-03-22 13:49:00,9,0,,
TRIP-000002,2025-03-22 18:00:00,2025-03-23 02:41:00,0,0,,
TRIP-000003,2025-12-08 06:00:00,2025-12-08 10:12:00,0,36,,
TRIP-000004,2025-12-08 12:32:00,2025-12-08 22:06:00,32,24,,
TRIP-000005,2025-02-08 18:28:00,2025-02-09 01:54:00,28,20,,
TRIP-000006,2025-02-09 06:19:00,2025-02-09 08:57:00,19,18,,
TRIP-000007,2025-02-09 12:05:00,2025-02-09 21:00:00,5,0,,
TRIP-000008,2025-12-08 06:02:00,2025-12-08 17:19:00,2,5,,
TRIP-000009,2025-12-08 18:29:00,2025-12-09 04:22:00,29,44,,
TRIP-000010,2025-06-08 06:00:00,2025-06-08 15:38:00,0,0,,
TRIP-000011,2025-10-08 12:00:00,2025-10-08 18:14:00,0,11,,
TRIP-000012,2025-06-08 12:08:00,2025-06-08 21:06:00,8,6,,
TRIP-000013,2025-06-09 00:46:00,2025-06-09 04:10:00,46,59,,
TRIP-000014,2025-04-08 12:11:00,2025-04-08 19:57:00,11,23,,
TRIP-000015,2025-04-09 00:26:00,2025-04-09 03:09:00,26,30,,
TRIP-000016,2025-05-22 06:28:00,2025-05-22 14:43:00,28,29,,
TRIP-000017,2025-05-22 18:19:00,2025-05-22 22:52:00,19,25,,
TRIP-000018,2025-05-23 00:03:00,2025-05-23 06:42:00,3,5,,
TRIP-000019,2025-04-08 06:10:00,2025-04-08 18:36:00,10,34,,
TRIP-000020,2025-04-08 18:26:00,2025-04-08 23:53:00,26,42,,
TRIP-000021,2025-04-09 00:00:00,2025-04-09 07:52:00,0,18,,
TRIP-000022,2025-06-08 18:46:00,2025-06-08 22:21:00,46,45,,
TRIP-000023,2025-06-09 00:00:00,2025-06-09 09:42:00,0,0,,
TRIP-000024,2025-06-09 12:00:00,2025-06-09 18:05:00,0,0,,
TRIP-000025,2025-10-08 18:15:00,2025-10-08 21:11:00,15,0,,
TRIP-000026,2025-10-09 00:00:00,2025-10-09 06:25:00,0,15,,
TRIP-000027,2025-10-09 06:00:00,2025-10-09 14:17:00,0,6,,
TRIP-000028,2025-07-08 12:02:00,2025-07-08 21:29:00,2,29,,
TRIP-000029,2025-07-09 00:22:00,2025-07-09 03:29:00,22,18,,
TRIP-000030,2025-10-08 06:00:00,2025-10-08 10:00:00,0,0,,
TRIP-000031,2025-10-08 12:00:00,2025-10-09 00:43:00,0,20,,
TRIP-000032,2025-12-22 18:39:00,2025-12-22 22:08:00,39,66,,
TRIP-000033,2025-06-22 12:15:00,2025-06-22 21:53:00,15,11,,
TRIP-000034,2025-06-23 00:12:00,2025-06-23 06:07:00,12,2,,
TRIP-000035,2025-07-22 18:11:00,2025-07-23 01:40:00,11,6,,
TRIP-000036,2025-07-23 06:12:00,2025-07-23 08:44:00,12,5,,
TRIP-000037,2025-02-22 12:20:00,2025-02-22 21:26:00,20,45,,
TRIP-000038,2025-06-08 18:05:00,2025-06-09 00:10:00,5,0,,
TRIP-000039,2025-06-09 00:00:00,2025-06-09 08:37:00,0,26,,
TRIP-000040,2025-07-08 12:07:00,2025-07-08 18:42:00,7,32,,
TRIP-000041,2025-07-08 18:44:00,2025-07-09 03:21:00,44,70,,
TRIP-000042,2025-12-22 06:08:00,2025-12-22 09:45:00,8,9,,
TRIP-000043,2025-12-22 12:11:00,2025-12-22 22:27:00,11,45,,
TRIP-000044,2025-12-23 00:17:00,2025-12-23 07:20:00,17,75,,
TRIP-000045,2025-03-22 06:20:00,2025-03-22 09:46:00,20,10,,
TRIP-000046,2025-03-22 12:09:00,2025-03-22 21:42:00,9,0,,
TRIP-000047,2025-07-08 12:41:00,2025-07-08 20:50:00,41,76,,
TRIP-000048,2025-07-09 00:29:00,2025-07-09 03:30:00,29,51,,
TRIP-000049,2025-07-22 06:27:00,2025-07-22 10:09:00,27,58,,
TRIP-000050,2025-07-22 12:28:00,2025-07-23 00:25:00,28,0,,
TRIP-000051,2025-06-22 06:19:00,2025-06-22 12:11:00,19,1,,
TRIP-000052,2025-02-22 18:07:00,2025-02-23 00:03:00,7,0,,
TRIP-000053,2025-02-23 00:36:00,2025-02-23 12:48:00,36,25,,
TRIP-000054,2025-09-08 18:37:00,2025-09-09 03:08:00,37,57,,
TRIP-000055,2025-09-09 06:02:00,2025-09-09 12:34:00,2,24,,
TRIP-000056,2025-09-09 12:36:00,2025-09-09 20:39:00,36,67,,
TRIP-000057,2025-07-08 12:46:00,2025-07-09 01:25:00,46,83,,
TRIP-000058,2025-07-09 00:00:00,2025-07-09 10:50:00,0,7,,
TRIP-000059,2025-07-09 12:00:00,2025-07-09 18:32:00,0,22,,
TRIP-000060,2025-04-22 18:23:00,2025-04-23 01:02:00,23,25,,
TRIP-000061,2025-04-23 06:00:00,2025-04-23 18:42:00,0,40,,
TRIP-000062,2025-09-08 12:00:00,2025-09-08 20:11:00,0,0,,
TRIP-000063,2025-09-09 00:04:00,2025-09-09 06:10:00,4,0,,
TRIP-000064,2025-09-09 06:32:00,2025-09-09 13:37:00,32,5,,
TRIP-000065,2025-07-08 12:00:00,2025-07-08 15:11:00,0,25,,
TRIP-000066,2025-06-08 06:00:00,2025-06-08 14:11:00,0,0,,
TRIP-000067,2025-06-08 18:08:00,2025-06-09 00:20:00,8,10,,
TRIP-000068,2025-12-08 12:06:00,2025-12-08 17:12:00,6,1,,
TRIP-000069,2025-11-22 06:07:00,2025-11-22 09:36:00,7,0,,
TRIP-000070,2025-11-22 12:00:00,2025-11-22 22:01:00,0,19,,
TRIP-000071,2025-11-23 00:29:00,2025-11-23 08:36:00,29,151,Kerusakan Mesin,Medium
TRIP-000072,2025-02-08 06:06:00,2025-02-08 14:15:00,6,26,,
TRIP-000073,2025-02-08 18:00:00,2025-02-09 02:59:00,0,0,,
TRIP-000074,2025-02-09 06:17:00,2025-02-09 16:43:00,17,0,,
TRIP-000075,2025-10-08 18:20:00,2025-10-09 02:52:00,20,38,,
TRIP-000076,2025-10-09 06:15:00,2025-10-09 10:27:00,15,0,,
TRIP-000077,2025-02-22 12:00:00,2025-02-22 18:26:00,0,23,,
TRIP-000078,2025-01-08 18:18:00,2025-01-09 01:32:00,18,0,,
TRIP-000079,2025-01-09 06:15:00,2025-01-09 17:25:00,15,11,,
TRIP-000080,2025-04-22 12:00:00,2025-04-22 16:44:00,0,17,,
TRIP-000081,2025-11-22 12:08:00,2025-11-22 18:41:00,8,31,,
TRIP-000082,2025-11-22 18:23:00,2025-11-23 02:40:00,23,29,,
TRIP-000083,2025-06-08 12:00:00,2025-06-08 16:28:00,0,28,,
TRIP-000084,2025-06-08 18:43:00,2025-06-09 06:55:00,43,32,,
TRIP-000085,2025-12-22 18:10:00,2025-12-23 03:52:00,10,10,,
TRIP-000086,2025-12-23 06:14:00,2025-12-23 12:25:00,14,20,,
TRIP-000087,2025-05-22 18:02:00,2025-05-23 03:35:00,2,36,,
TRIP-000088,2025-05-23 06:07:00,2025-05-23 16:49:00,7,6,,
TRIP-000089,2025-05-23 18:00:00,2025-05-24 00:10:00,0,0,,
TRIP-000090,2025-07-08 06:08:00,2025-07-08 09:55:00,8,44,,
TRIP-000091,2025-12-22 18:10:00,2025-12-22 22:43:00,10,16,,
TRIP-000092,2025-12-23 00:14:00,2025-12-23 06:46:00,14,9,,
TRIP-000093,2025-11-22 12:07:00,2025-11-22 15:37:00,7,35,,
TRIP-000094,2025-06-22 06:10:00,2025-06-22 16:43:00,10,0,,
TRIP-000095,2025-06-22 18:00:00,2025-06-23 06:38:00,0,13,,
TRIP-000096,2025-11-08 06:19:00,2025-11-08 12:40:00,19,3,,
TRIP-000097,2025-11-08 18:35:00,2025-11-09 06:29:00,35,27,,
TRIP-000098,2025-12-08 12:24:00,2025-12-08 19:36:00,24,4,,
TRIP-000099,2025-12-09 00:28:00,2025-12-09 11:58:00,28,44,,
TRIP-000100,2025-01-08 12:00:00,2025-01-08 18:21:00,0,11,,
TRIP-000101,2025-07-08 12:04:00,2025-07-08 18:09:00,4,6,,
TRIP-000102,2025-07-08 18:00:00,2025-07-09 06:30:00,0,7,,
TRIP-000103,2025-07-09 06:00:00,2025-07-09 10:41:00,0,65,,
TRIP-000104,2025-10-08 06:40:00,2025-10-08 14:59:00,40,45,,
TRIP-000105,2025-10-08 18:04:00,2025-10-08 23:07:00,4,40,,
TRIP-000106,2025-08-08 18:04:00,2025-08-09 06:23:00,4,0,,
TRIP-000107,2025-07-08 18:02:00,2025-07-08 21:02:00,2,0,,
TRIP-000108,2025-07-09 00:09:00,2025-07-09 06:03:00,9,0,,
TRIP-000109,2025-03-08 06:00:00,2025-03-08 12:10:00,0,0,,
TRIP-000110,2025-03-08 12:31:00,2025-03-08 20:05:00,31,33,,
TRIP-000111,2025-11-08 06:25:00,2025-11-08 11:11:00,25,0,,
TRIP-000112,2025-11-08 12:01:00,2025-11-08 19:47:00,1,13,,
TRIP-000113,2025-07-22 12:00:00,2025-07-22 20:11:00,0,0,,
TRIP-000114,2025-07-22 18:00:00,2025-07-23 03:38:00,0,0,,
TRIP-000115,2025-07-23 06:15:00,2025-07-23 10:05:00,15,5,,
TRIP-000116,2025-03-08 12:04:00,2025-03-08 19:47:00,4,3,,
TRIP-000117,2025-07-08 12:00:00,2025-07-08 22:47:00,0,4,,
TRIP-000118,2025-07-09 00:38:00,2025-07-09 13:04:00,38,39,,
TRIP-000119,2025-07-22 06:40:00,2025-07-22 12:45:00,40,35,,
TRIP-000120,2025-11-08 06:19:00,2025-11-08 14:52:00,19,63,,
TRIP-000121,2025-11-08 18:00:00,2025-11-09 02:41:00,0,0,,
TRIP-000122,2025-10-22 06:12:00,2025-10-22 17:23:00,12,9,,
TRIP-000123,2025-06-08 12:00:00,2025-06-08 18:05:00,0,0,,
TRIP-000124,2025-06-08 18:00:00,2025-06-09 01:49:00,0,0,,
TRIP-000125,2025-06-09 06:35:00,2025-06-09 15:43:00,35,44,,
TRIP-000126,2025-06-08 12:00:00,2025-06-08 19:34:00,0,0,,
TRIP-000127,2025-07-08 06:40:00,2025-07-08 14:56:00,40,45,,
TRIP-000128,2025-07-08 18:10:00,2025-07-09 00:41:00,10,31,,
TRIP-000129,2025-09-22 12:04:00,2025-09-22 21:09:00,4,9,,
TRIP-000130,2025-09-23 00:06:00,2025-09-23 03:20:00,6,9,,
TRIP-000131,2025-09-23 06:31:00,2025-09-23 18:33:00,31,8,,
TRIP-000132,2025-04-08 06:24:00,2025-04-08 14:09:00,24,37,,
TRIP-000133,2025-04-08 18:12:00,2025-04-09 05:46:00,12,32,,
TRIP-000134,2025-08-08 12:29:00,2025-08-08 21:04:00,29,53,,
TRIP-000135,2025-08-09 00:28:00,2025-08-09 06:41:00,28,31,,
TRIP-000136,2025-08-09 06:50:00,2025-08-09 14:25:00,50,53,,
TRIP-000137,2025-12-22 06:15:00,2025-12-22 09:58:00,15,56,,
TRIP-000138,2025-12-22 12:17:00,2025-12-22 18:39:00,17,36,,
TRIP-000139,2025-12-22 18:02:00,2025-12-23 06:23:00,2,0,,
TRIP-000140,2025-12-22 06:00:00,2025-12-22 12:10:00,0,0,,
TRIP-000141,2025-06-08 06:00:00,2025-06-08 09:36:00,0,0,,
TRIP-000142,2025-06-08 12:36:00,2025-06-08 22:26:00,36,44,,
TRIP-000143,2025-09-08 06:34:00,2025-09-08 18:03:00,34,184,Kerusakan Mesin,High
TRIP-000144,2025-09-08 18:00:00,2025-09-09 05:09:00,0,26,,
TRIP-000145,2025-01-08 06:00:00,2025-01-08 16:02:00,0,24,,
TRIP-000146,2025-01-08 18:27:00,2025-01-08 22:10:00,27,10,,
TRIP-000147,2025-01-09 00:00:00,2025-01-09 12:02:00,0,23,,
TRIP-000148,2025-10-08 06:00:00,2025-10-08 18:47:00,0,24,,
TRIP-000149,2025-10-08 18:10:00,2025-10-08 21:36:00,10,0,,
TRIP-000150,2025-07-22 06:00:00,2025-07-22 18:22:00,0,20,,
TRIP-000151,2025-07-08 18:38:00,2025-07-08 23:16:00,38,49,,
TRIP-000152,2025-07-09 00:11:00,2025-07-09 07:00:00,11,23,,
TRIP-000153,2025-06-08 06:40:00,2025-06-08 14:24:00,40,35,,
TRIP-000154,2025-10-22 06:00:00,2025-10-22 12:37:00,0,0,,
TRIP-000155,2025-10-22 18:00:00,2025-10-23 06:02:00,0,0,,
TRIP-000156,2025-10-23 06:00:00,2025-10-23 17:29:00,0,46,,
